'NLA.MI27.half_coefficient_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI27.spectral_function_semantics' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI27.normalize_positive_pair' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI27.positive_trace_operator_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI27.positive_commutator_trace_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI27.positive_part_variational' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI27.positive_part_trace_lipschitz' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI27.unitary_flow_semantics' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI27.hockey_stick_unitary_lipschitz' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI27.uniform_hockey_stick_cutoff' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI27.relative_entropy_finite_hockey_stick' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI27.weighted_entropy_finite_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI27.kernel_integrals' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI27.kernel_entropy_mass_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI27.entropy_trajectory_lipschitz' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI27.entropy_unitary_mix_derivative' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI27.skew_commutator_trace_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI27.hermitian_trace_norm_witness' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI27.logarithmic_commutator_dual_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI27.logarithmic_commutator_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
