'NLA.NR04.minor_eight_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.NR04.distance_index_semantics' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.NR04.centered_labels' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.NR04.reflection_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.NR04.seven_factor_certificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.NR04.distance_rank_certificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.NR04.distance_sign_pattern' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.NR04.small_section_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.NR04.section_contact_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.NR04.low_rank_factor_obstruction' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.NR04.rank_three_small_factor' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.NR04.general_rank_seven_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.NR04.nine_point_no_small_factor' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.NR04.nine_point_nonnegative_rank_seven' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.NR04.canonical_six_factor_impossible' depends on axioms: [propext, Classical.choice, Quot.sound]
