'NLA.PF03.alpha_certificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.cubic_eval_operations' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.cubic_eval_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.seed_orthogonal' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.seed_quadratic_form' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.seed_local_data' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.local_quadratic_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.rational_ray_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.triangle_certificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.cross_cone_certificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.positive_slice_certificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.cone_quadratic_zeros' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.cone_rational_zeros' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.cone_pointed' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.one_variable_projection' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.rational_projection' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.rational_cone_halfspaces' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.pointed_halfspaces_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.gram_factor_transport' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.trace_obstruction' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.no_rational_factor' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.padded_real_factor' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.cp_zero_diagonal_frontier' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.pf03_counterexample' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.PF03.canonical_negative_answer' depends on axioms: [propext, Classical.choice, Quot.sound]
