case,n,epsilon,steps,theoretical_step_cap,backward_error,augmented_relative_residual,quantization_error,quantization_budget,certificate_passed,k,integer_weight,backend
scalar,1,0.25,6,126976,0.023833711288322783,0.01705499522582124,0.0,0.03125,True,1,257,dense
diagonal_1e-250,4,0.25,171,135168,0.03109163863472311,0.031234976492172058,0.001171874999999989,0.03125,True,1,887,dense
orthogonal_8,8,0.4,12,54400,0.059292586653886474,0.04269894386912559,0.005011553468736936,0.05,True,1,8789,dense
orthogonal_16,16,0.25,17,139264,0.03980077975768096,0.027805848070647746,0.003041317460106728,0.03125,True,1,53142,dense
orthogonal_32,32,0.1,30,896000,0.01704325463162476,0.012010868358612122,0.0010998574416461273,0.0125,True,1,526954,dense
well_conditioned_16,16,0.25,162,139264,0.03455683352872768,0.031176191072909018,0.003144493285269707,0.03125,True,1,36788,dense
well_conditioned_32,32,0.1,229,896000,0.01503944344938114,0.01242756605929644,0.001180173079894447,0.0125,True,1,355398,dense
small_outlier_16,16,0.25,227,139264,0.03608227189717434,0.031141755524131814,0.002744290245991788,0.03125,True,1,35295,dense
small_outlier_32,32,0.1,240,896000,0.014400515757384987,0.012316472104830065,0.0011729935187768585,0.0125,True,1,354373,dense
small_outlier_64,64,0.25,202,147456,0.041113533629719416,0.03088755459509242,0.0030378965116376394,0.03125,True,1,569660,dense
geometric_spectrum_16,16,0.25,58,139264,0.038584900120740465,0.031188827947836194,0.003006993386460314,0.03125,True,1,10829,dense
geometric_spectrum_32,32,0.1,182,896000,0.015523027357382759,0.012489229940818067,0.0011988535783521918,0.0125,True,1,93956,dense
geometric_spectrum_64,64,0.25,75,147456,0.04189552105617761,0.031160722631363217,0.0030277374102266144,0.03125,True,1,130031,dense
nonnormal_bidiagonal_24,24,0.25,424,143360,0.0318289569374965,0.031175722870033225,0.0009411426732370831,0.03125,True,1,30114,dense
singular_inconsistent_extension_16,16,0.25,51,139264,0.04401586462541664,0.030747104963019436,0.0029034477101913298,0.03125,True,1,24303,dense
