n,k,kappa_promise,repeat,nnz,iterations,matvec_calls,chebyshev_inequalities_checked,exact_residual_squared
4,0,1,0,8,1,2,0,0
4,0,1,1,16,1,2,0,0
4,0,3/2,0,16,4,8,4,0
4,0,3/2,1,16,4,8,4,0
4,0,3,0,16,4,8,4,0
4,0,3,1,16,4,8,4,0
4,1,1,0,16,2,4,0,0
4,1,1,1,16,2,4,0,0
4,1,3/2,0,16,4,8,3,0
4,1,3/2,1,16,4,8,3,0
4,1,3,0,16,4,8,3,0
4,1,3,1,16,4,8,3,0
4,3,1,0,16,4,8,0,0
4,3,1,1,16,4,8,0,0
4,3,3/2,0,16,4,8,1,0
4,3,3/2,1,16,4,8,1,0
4,3,3,0,16,4,8,1,0
4,3,3,1,16,4,8,1,0
7,0,1,0,38,1,2,0,0
7,0,1,1,45,1,2,0,0
7,0,3/2,0,38,7,14,7,0
7,0,3/2,1,44,7,14,7,0
7,0,3,0,47,7,14,7,0
7,0,3,1,31,7,14,7,0
7,1,1,0,32,2,4,0,0
7,1,1,1,37,2,4,0,0
7,1,3/2,0,46,7,14,6,0
7,1,3/2,1,43,7,14,6,0
7,1,3,0,38,7,14,6,0
7,1,3,1,45,7,14,6,0
7,3,1,0,39,4,8,0,0
7,3,1,1,43,4,8,0,0
7,3,3/2,0,49,7,14,4,0
7,3,3/2,1,45,7,14,4,0
7,3,3,0,46,7,14,4,0
7,3,3,1,40,7,14,4,0
7,6,1,0,36,7,14,0,0
7,6,1,1,45,7,14,0,0
7,6,3/2,0,38,7,14,1,0
7,6,3/2,1,39,7,14,1,0
7,6,3,0,44,7,14,1,0
7,6,3,1,44,7,14,1,0
10,0,1,0,70,1,2,0,0
10,0,1,1,94,1,2,0,0
10,0,3/2,0,96,8,16,8,0
10,0,3/2,1,96,10,20,10,0
10,0,3,0,80,10,20,10,0
10,0,3,1,100,10,20,10,0
10,1,1,0,88,2,4,0,0
10,1,1,1,86,2,4,0,0
10,1,3/2,0,61,9,18,8,0
10,1,3/2,1,88,10,20,9,0
10,1,3,0,88,10,20,9,0
10,1,3,1,84,10,20,9,0
10,3,1,0,94,4,8,0,0
10,3,1,1,80,4,8,0,0
10,3,3/2,0,84,10,20,7,0
10,3,3/2,1,88,10,20,7,0
10,3,3,0,54,10,20,7,0
10,3,3,1,80,10,20,7,0
10,9,1,0,96,10,20,0,0
10,9,1,1,100,10,20,0,0
10,9,3/2,0,92,10,20,1,0
10,9,3/2,1,76,10,20,1,0
10,9,3,0,96,10,20,1,0
10,9,3,1,68,10,20,1,0
