case,seed,n,b,k,kprime,gap_b,q,numerical_subspace_dimension,spectral_ratio,frobenius_ratio,right_pca_normalized_error,spectral_absolute_error,frobenius_absolute_error,right_pca_absolute_error,orthogonality_error
exact_b_fold_clusters,1729,160,4,24,24,0.20000000000000004,6,24,1.6904721183644646,1.0823110014174513,0.9760768131608528,1.6904721183644646,9.035838540728275,0.9760768131608528,1.2305983307123584e-15
exact_b_fold_clusters,1729,160,4,24,24,0.20000000000000004,8,32,1.2411796169059661,1.0263304850065147,0.4955585484073355,1.2411796169059661,8.568476657634275,0.4955585484073355,1.4572247022981946e-15
exact_b_fold_clusters,1729,160,4,24,24,0.20000000000000004,10,40,1.1791177153688703,1.0090166634385669,0.27551539582800566,1.1791177153688703,8.423929576429273,0.27551539582800566,1.511715429642024e-15
exact_b_fold_clusters,1729,160,4,24,24,0.20000000000000004,12,48,1.085920326375776,1.0021691613303718,0.21165215089079292,1.085920326375776,8.366762160246756,0.21165215089079292,1.5225939289397909e-15
exact_b_fold_clusters,1729,160,4,24,24,0.20000000000000004,16,64,1.0001090726698425,1.0000080928417752,0.0006828259044671103,1.0001090726698425,8.348720150221133,0.0006828259044671103,1.5267313394387742e-15
exact_b_fold_clusters,1729,160,4,24,24,0.20000000000000004,20,80,1.0000000055783522,1.0000000040086618,3.365751291006802e-07,1.0000000055783522,8.348652619363646,3.365751291006802e-07,1.5298692832629574e-15
exact_b_fold_clusters,1730,160,4,24,24,0.20000000000000004,6,24,1.5574069582214851,1.079620742595352,0.8773390640869414,1.5574069582214851,9.013378504456423,0.8773390640869414,1.5132293931654638e-15
exact_b_fold_clusters,1730,160,4,24,24,0.20000000000000004,8,32,1.224744366119747,1.0227639037239105,0.46444555112629304,1.224744366119747,8.53870050958645,0.46444555112629304,1.5194702808971048e-15
exact_b_fold_clusters,1730,160,4,24,24,0.20000000000000004,10,40,1.2246477403635432,1.0084312210063462,0.3026221106359679,1.2246477403635432,8.41904192095362,0.3026221106359679,1.5236338994810381e-15
exact_b_fold_clusters,1730,160,4,24,24,0.20000000000000004,12,48,1.2170039140430102,1.0041942603503629,0.29935367680132297,1.2170039140430102,8.383669008416701,0.29935367680132297,1.5902460294112126e-15
exact_b_fold_clusters,1730,160,4,24,24,0.20000000000000004,16,64,1.0000021345248404,1.0000009735041488,4.0873282702191815e-05,1.0000021345248404,8.34866071334465,4.0873282702191815e-05,1.605153012634736e-15
exact_b_fold_clusters,1730,160,4,24,24,0.20000000000000004,20,80,1.0000000002977392,1.0000000001764104,1.0270307271298407e-08,1.0000000002977392,8.34865258736951,1.0270307271298407e-08,1.803740746028974e-15
exact_b_fold_clusters,1731,160,4,24,24,0.20000000000000004,6,24,1.4940216244875113,1.079373166947904,0.9041528482851722,1.4940216244875113,9.011311581387153,0.9041528482851722,1.6694957631736876e-15
exact_b_fold_clusters,1731,160,4,24,24,0.20000000000000004,8,32,1.3771195336001145,1.028483571917457,0.5187759229838442,1.3771195336001145,8.586452032240974,0.5187759229838442,1.686046486595922e-15
exact_b_fold_clusters,1731,160,4,24,24,0.20000000000000004,10,40,1.2246943401762258,1.0100264772924399,0.31239661902884786,1.2246943401762258,8.432360161471683,0.31239661902884786,1.6906184280112883e-15
exact_b_fold_clusters,1731,160,4,24,24,0.20000000000000004,12,48,1.2217735762414161,1.0048411072965822,0.29944281676232265,1.2217735762414161,8.389069308846935,0.29944281676232265,1.7603121197863856e-15
exact_b_fold_clusters,1731,160,4,24,24,0.20000000000000004,16,64,1.0000074743622782,1.0000022106605857,9.314602999532795e-05,1.0000074743622782,8.348671041933937,9.314602999532795e-05,1.938084270584416e-15
exact_b_fold_clusters,1731,160,4,24,24,0.20000000000000004,20,80,1.0000000002156728,1.0000000007880414,4.969708888857838e-08,1.0000000002156728,8.348652592475805,4.969708888857838e-08,2.0917697196536e-15
near_b_fold_clusters,1829,160,4,24,24,0.1999999999999999,6,24,1.7137376498186647,1.0869378280105126,1.0103722882354091,1.7137376498186647,9.074466308528931,1.0103722882354091,2.051667954112266e-15
