b,t,m,seed,rho,gap_b,decimal_precision,log_single_tail_graph_norm,relative_linear_solve_residual
1,8,8,31595,0.8,0.2,120,3.28853807417060628,1.45096e-126
1,8,8,31596,0.8,0.2,120,6.17507295488794634,4.30161e-127
1,8,8,31597,0.8,0.2,120,4.49033420011487588,1.08174e-126
4,6,24,31875,0.25,0.75,120,0.161213290431821956,2.82488e-128
4,6,24,31876,0.25,0.75,120,1.14047147414677474,6.67339e-128
4,6,24,31877,0.25,0.75,120,1.01822358825619461,1.2543e-128
8,8,64,32295,0.8,0.2,120,8.16456175858078459,9.97884e-126
8,8,64,32296,0.8,0.2,120,7.18361216297188654,2.78791e-125
8,8,64,32297,0.8,0.2,120,7.14650897171438461,1.4545e-125
12,6,72,32675,0.25,0.75,120,3.16737352003077926,2.12339e-128
12,6,72,32676,0.25,0.75,120,2.76494685052774679,5.7511e-128
12,6,72,32677,0.25,0.75,120,2.59405116828097402,2.29926e-125
