case,seed,n,b,k,kprime,gap_b,q,numerical_subspace_dimension,spectral_ratio,frobenius_ratio,right_pca_normalized_error,spectral_absolute_error,frobenius_absolute_error,right_pca_absolute_error,orthogonality_error
exact_b_fold_clusters,1729,160,4,24,24,0.20000000000000004,6,24,1.6904721183644653,1.0823110014174513,0.9760768131608524,1.6904721183644653,9.035838540728273,0.9760768131608524,1.8769373922313248e-15
exact_b_fold_clusters,1729,160,4,24,24,0.20000000000000004,8,32,1.241179616905966,1.0263304850065151,0.49555854840733504,1.241179616905966,8.568476657634276,0.49555854840733504,1.88178419119489e-15
exact_b_fold_clusters,1729,160,4,24,24,0.20000000000000004,10,40,1.1791177153688697,1.009016663438567,0.2755153958280041,1.1791177153688697,8.423929576429273,0.2755153958280041,1.8907911114177356e-15
exact_b_fold_clusters,1729,160,4,24,24,0.20000000000000004,12,48,1.0859203263757762,1.002169161330372,0.21165215089079237,1.0859203263757762,8.366762160246756,0.21165215089079237,1.903583855767416e-15
exact_b_fold_clusters,1729,160,4,24,24,0.20000000000000004,16,64,1.000109072669842,1.0000080928417752,0.0006828259044671103,1.000109072669842,8.348720150221133,0.0006828259044671103,1.9097289377411687e-15
exact_b_fold_clusters,1729,160,4,24,24,0.20000000000000004,20,80,1.0000000055783522,1.0000000040086625,3.3657512998885863e-07,1.0000000055783522,8.34865261936365,3.3657512998885863e-07,1.9124969785903146e-15
exact_b_fold_clusters,1730,160,4,24,24,0.20000000000000004,6,24,1.5574069582214856,1.0796207425953523,0.8773390640869412,1.5574069582214856,9.013378504456425,0.8773390640869412,1.87959261655345e-15
exact_b_fold_clusters,1730,160,4,24,24,0.20000000000000004,8,32,1.2247443661197481,1.0227639037239105,0.46444555112629304,1.2247443661197481,8.538700509586448,0.46444555112629304,1.882322881174758e-15
exact_b_fold_clusters,1730,160,4,24,24,0.20000000000000004,10,40,1.2246477403635423,1.0084312210063464,0.3026221106359688,1.2246477403635423,8.41904192095362,0.3026221106359688,1.8852515384842816e-15
exact_b_fold_clusters,1730,160,4,24,24,0.20000000000000004,12,48,1.2170039140430102,1.004194260350363,0.2993536768013232,1.2170039140430102,8.383669008416701,0.2993536768013232,1.8863258551953503e-15
exact_b_fold_clusters,1730,160,4,24,24,0.20000000000000004,16,64,1.0000021345248402,1.000000973504149,4.0873282705522485e-05,1.0000021345248402,8.348660713344652,4.0873282705522485e-05,1.8888698022755698e-15
exact_b_fold_clusters,1730,160,4,24,24,0.20000000000000004,20,80,1.0000000002977392,1.0000000001764107,1.0270307715387617e-08,1.0000000002977392,8.34865258736951,1.0270307715387617e-08,1.8897549208974014e-15
exact_b_fold_clusters,1731,160,4,24,24,0.20000000000000004,6,24,1.4940216244875104,1.0793731669479043,0.9041528482851711,1.4940216244875104,9.011311581387153,0.9041528482851711,1.5502988610157818e-15
exact_b_fold_clusters,1731,160,4,24,24,0.20000000000000004,8,32,1.3771195336001143,1.0284835719174572,0.5187759229838438,1.3771195336001143,8.586452032240974,0.5187759229838438,1.597682162928089e-15
exact_b_fold_clusters,1731,160,4,24,24,0.20000000000000004,10,40,1.224694340176226,1.0100264772924403,0.3123966190288492,1.224694340176226,8.432360161471685,0.3123966190288492,1.6516339707850143e-15
exact_b_fold_clusters,1731,160,4,24,24,0.20000000000000004,12,48,1.2217735762414168,1.0048411072965824,0.29944281676232243,1.2217735762414168,8.389069308846935,0.29944281676232243,2.500294391146583e-15
exact_b_fold_clusters,1731,160,4,24,24,0.20000000000000004,16,64,1.0000074743622793,1.0000022106605857,9.314602999666022e-05,1.0000074743622793,8.348671041933935,9.314602999666022e-05,2.5123627743796993e-15
exact_b_fold_clusters,1731,160,4,24,24,0.20000000000000004,20,80,1.000000000215672,1.0000000007880419,4.969708888857838e-08,1.000000000215672,8.348652592475807,4.969708888857838e-08,2.5140454350609473e-15
near_b_fold_clusters,1829,160,4,24,24,0.1999999999999999,6,24,1.7137376498186656,1.0869378280105129,1.0103722882354147,1.7137376498186656,9.074466308528931,1.0103722882354147,1.967497884688312e-15
near_b_fold_clusters,1829,160,4,24,24,0.1999999999999999,8,32,1.2247523542047545,1.0250372827882697,0.48503395478181355,1.2247523542047545,8.557680161590834,0.48503395478181355,1.9747560999349786e-15
near_b_fold_clusters,1829,160,4,24,24,0.1999999999999999,10,40,1.222541353985301,1.0092614441955894,0.3009762488496752,1.222541353985301,8.425973165929365,0.3009762488496752,1.9923943309192533e-15
near_b_fold_clusters,1829,160,4,24,24,0.1999999999999999,12,48,1.0713569278978392,1.0027923761566846,0.15572422775112016,1.0713569278978392,8.37196516431802,0.15572422775112016,2.0039415986812298e-15
near_b_fold_clusters,1829,160,4,24,24,0.1999999999999999,16,64,1.0000739410507027,1.0000034697570974,0.0001348139315271446,1.0000739410507027,8.348681553693282,0.0001348139315271446,2.02179242635182e-15
near_b_fold_clusters,1829,160,4,24,24,0.1999999999999999,20,80,1.0000000044473034,1.000000001764915,7.598015239196343e-08,1.0000000044473034,8.348652600631382,7.598015239196343e-08,2.0242955140238515e-15
