b,m,seed,gap_b,max_observed_column_bound_ratio,matrix_inverse_residual
1,2,9100,0.5,0.4,2.4793053785906796e-16
1,2,9101,0.5,0.4,6.328674370455912e-16
1,2,9102,0.5,0.4,7.152246708340957e-16
1,2,9103,0.5,0.39999999999999997,1.2937882041164874e-15
1,2,9104,0.5,0.4,3.3645204171752187e-16
1,2,9105,0.5,0.4,2.41167376809814e-16
1,2,9106,0.5,0.4,6.588861714477725e-17
1,2,9107,0.5,0.3999999999999999,6.601025202222043e-16
1,2,9108,0.5,0.39999999999999997,1.522656461075403e-14
1,2,9109,0.5,0.39999999999999997,1.866678030880982e-15
2,4,9200,0.33333333333333326,0.254656283413718,4.6702003633887666e-15
2,4,9201,0.33333333333333326,0.29398730143691076,1.7904497737810334e-15
2,4,9202,0.33333333333333326,0.2577724591996802,8.234101437161343e-16
2,4,9203,0.33333333333333326,0.08817251766375299,1.840795831265247e-15
2,4,9204,0.33333333333333326,0.2407146411437533,2.040568725888929e-15
2,4,9205,0.33333333333333326,0.1146687524667896,2.1444213504377827e-15
2,4,9206,0.33333333333333326,0.22360403891879416,4.550285060155845e-13
2,4,9207,0.33333333333333326,0.07221827010822049,4.2014873665489095e-15
2,4,9208,0.33333333333333326,0.5138122716462756,1.810098031528942e-13
2,4,9209,0.33333333333333326,0.043056435816401256,1.703540849382089e-15
4,8,9400,0.2857142857142857,0.1028930910394974,2.967576877568194e-14
4,8,9401,0.2857142857142857,0.12741144302321936,4.024070199015266e-15
4,8,9402,0.2857142857142857,0.27364683542914386,1.707071487006179e-14
4,8,9403,0.2857142857142857,0.1607745690875282,9.857705965532377e-14
4,8,9404,0.2857142857142857,0.1387255623740101,7.176921879517843e-15
4,8,9405,0.2857142857142857,0.21975964860794886,4.487098345077623e-15
4,8,9406,0.2857142857142857,0.17622339697139053,1.7374296903246986e-13
4,8,9407,0.2857142857142857,0.05774143574852336,2.8810632629420775e-14
4,8,9408,0.2857142857142857,0.1564281259312028,1.4327218028744753e-14
4,8,9409,0.2857142857142857,0.18819243952709963,1.864569237829789e-14
8,16,9800,0.2666666666666666,0.06746997485133911,3.2081127935263335e-14
8,16,9801,0.2666666666666666,0.07077531784284952,3.1204820818568636e-14
8,16,9802,0.2666666666666666,0.09689275428097974,2.006158821282761e-14
8,16,9803,0.2666666666666666,0.12615362322246654,2.838292514475218e-14
8,16,9804,0.2666666666666666,0.08039868040375657,7.922894334693202e-13
8,16,9805,0.2666666666666666,0.11213882976237127,1.5988655947149046e-13
8,16,9806,0.2666666666666666,0.10081426051154985,6.676461153298011e-14
8,16,9807,0.2666666666666666,0.05258235564775314,3.6506420996851436e-14
8,16,9808,0.2666666666666666,0.06842039261482137,7.924146650872361e-14
8,16,9809,0.2666666666666666,0.07172323536956327,2.330179561152023e-14
16,32,10600,0.25806451612903225,0.04021372775237405,3.3579674970040566e-13
16,32,10601,0.25806451612903225,0.05094629144537897,1.0625225008575914e-13
16,32,10602,0.25806451612903225,0.03139917681690605,6.603102433729982e-14
16,32,10603,0.25806451612903225,0.0701613377419059,1.905960166444372e-13
16,32,10604,0.25806451612903225,0.05664780828564268,6.040027523397556e-13
16,32,10605,0.25806451612903225,0.04043329349638897,7.838300520327612e-14
16,32,10606,0.25806451612903225,0.04346275418068751,1.352784060367814e-13
16,32,10607,0.25806451612903225,0.050319741499311815,5.0423418611007264e-14
16,32,10608,0.25806451612903225,0.05150327086750221,5.675228967351676e-14
16,32,10609,0.25806451612903225,0.056739493662652046,5.430898445616736e-14
