case,n,b,k,m,q,seed,delta,basis_dimension,orthogonality_error,spectral_error,frobenius_error,right_energy_defect,spectral_ratio,frobenius_ratio,relative_right_energy_defect,all_criteria_at_epsilon_0_1
exact_clusters,72,4,24,24,6,101,0.22119921692859512,24,4.783835298858124e-15,0.783704561022341,2.8284049671714215,0.23571854381031637,1.5433526456720885,1.2899830973844317,0.914153954812776,False
exact_clusters,72,4,24,24,8,101,0.22119921692859512,32,5.2486757591356655e-15,0.6426720355486576,2.4118075140847313,0.1122343532375572,1.2656167077420035,1.0999807182581247,0.4352626493422138,False
exact_clusters,72,4,24,24,12,101,0.22119921692859512,48,6.1404358946091636e-15,0.5349426428821158,2.1994682306723696,0.029124558909764342,1.0534647675112832,1.0031367055753866,0.11294966564430946,False
exact_clusters,72,4,24,24,18,101,0.22119921692859512,72,7.011813724113784e-15,0.5077935773266249,2.192590719139105,2.4424906541753444e-15,0.9999999999999998,1.0,9.472366726074755e-15,True
exact_clusters,72,4,24,24,6,202,0.22119921692859512,24,3.9100361945595496e-15,0.7756319626903526,2.8109293816429175,0.2444169952442324,1.5274552442624685,1.282012806633878,0.9478879311496567,False
exact_clusters,72,4,24,24,8,202,0.22119921692859512,32,4.094991665172051e-15,0.6226933099670707,2.3990807994809447,0.13307378315997337,1.2262725205099225,1.094176299543453,0.5160812687502414,False
exact_clusters,72,4,24,24,12,202,0.22119921692859512,48,5.1692188303572524e-15,0.5274375122634395,2.198497434274238,0.02172293940599329,1.038684882625404,1.0026939433263002,0.08424500952342112,True
exact_clusters,72,4,24,24,18,202,0.22119921692859512,72,6.535404976978522e-15,0.507793577326625,2.192590719139105,1.3322676295501878e-15,1.0,1.0,5.166745486949867e-15,True
exact_clusters,72,4,24,24,6,303,0.22119921692859512,24,3.704039862905725e-15,0.8575356184699661,2.8318938532154645,0.22959898833757242,1.6887484536228756,1.291574313662777,0.8904213466493438,False
exact_clusters,72,4,24,24,8,303,0.22119921692859512,32,4.325520274971101e-15,0.686606641717079,2.4354677838070327,0.13176009644830441,1.3521373100696725,1.1107717288720853,0.5109865830142581,False
exact_clusters,72,4,24,24,12,303,0.22119921692859512,48,5.533597782528816e-15,0.5230999782726665,2.197917817173888,0.01849627614143362,1.0301429589295417,1.0024295907066845,0.0717314968550248,True
exact_clusters,72,4,24,24,18,303,0.22119921692859512,72,6.604926895077222e-15,0.5077935773266247,2.192590719139105,2.220446049250313e-15,0.9999999999999993,1.0,8.611242478249777e-15,True
wide_unaligned,64,4,19,20,5,101,0.30232367392896886,20,2.961128781774934e-15,0.6947388058944161,2.4128664930504558,0.16240455644011859,1.6335910293713296,1.1790228756268104,0.8979285363480289,False
wide_unaligned,64,4,19,20,7,101,0.30232367392896886,28,3.88291158210126e-15,0.5637705224692285,2.1336120838356925,0.07061307042120457,1.325635563057471,1.0425680251275575,0.39041694617559103,False
wide_unaligned,64,4,19,20,10,101,0.30232367392896886,40,4.673204517330201e-15,0.42559083992933955,2.0476195957896683,0.0014943283202957236,1.000723397617203,1.0005486631652016,0.00826208371783764,True
wide_unaligned,64,4,19,20,16,101,0.30232367392896886,64,5.581893561320229e-15,0.4252831910822742,2.0464967584006293,2.4424906541753444e-15,1.0000000000000002,1.0,1.3504436736392131e-14,True
wide_unaligned,64,4,19,20,5,202,0.30232367392896886,20,2.7292264179972626e-15,0.6994864607985656,2.4170647303112855,0.1622386659457733,1.6447545434807576,1.1810743019208403,0.8970113341952898,False
wide_unaligned,64,4,19,20,7,202,0.30232367392896886,28,3.543183633028443e-15,0.5847494479406601,2.130945876554668,0.04648323017114622,1.3749648709429854,1.0412652098310857,0.25700398897179727,False
wide_unaligned,64,4,19,20,10,202,0.30232367392896886,40,4.3746147161033145e-15,0.4371109100429302,2.0503979855832983,0.013376140812643655,1.0278113953447265,1.001906295314984,0.07395616727238101,True
wide_unaligned,64,4,19,20,16,202,0.30232367392896886,64,5.472093068904528e-15,0.42528319108227425,2.0464967584006293,1.6653345369377348e-15,1.0000000000000002,1.0,9.207570502085544e-15,True
