b,t,m,case,seed,delta,raw_krylov_condition,f,descent_norm,deterministic_alpha,derivative_relative_error,finite_difference_relative_error,moment_relative_residual,translation_relative_residual,log10_interpolation_bound_margin
1,1,1,geometric,11,1.0,1.0,1.4089777698488228,1.0,0.00390625,0.0,5.5990767577895895e-12,0.0,0.0,13.915128488567527
1,1,1,geometric,29,1.0,1.0,1.8072790478029621,0.9999999999999999,0.00390625,1.1102230246251565e-16,1.71913594471107e-11,0.0,0.0,14.023249561234435
1,1,1,repeated,11,1.0,1.0,1.4089777698488228,1.0,0.00390625,0.0,5.5990767577895895e-12,0.0,0.0,13.915128488567527
1,1,1,repeated,29,1.0,1.0,1.8072790478029621,0.9999999999999999,0.00390625,1.1102230246251565e-16,1.71913594471107e-11,0.0,0.0,14.023249561234435
1,1,1,wide_bands,11,1.0,1.0,1.4089777698488228,1.0,0.00390625,0.0,5.5990767577895895e-12,0.0,0.0,13.915128488567527
1,1,1,wide_bands,29,1.0,1.0,1.8072790478029621,0.9999999999999999,0.00390625,1.1102230246251565e-16,1.71913594471107e-11,0.0,0.0,14.023249561234435
1,2,2,geometric,11,0.8646647167633873,3.3474751247011287,0.3883690784586919,0.8462342532234578,1.973556682413487e-06,2.220446049250313e-16,3.923838332031693e-07,3.469446951953614e-17,2.320207950733203e-16,18.431517933581826
1,2,2,geometric,29,0.8646647167633873,3.1218090352388503,1.721906014506811,0.7930819354776213,1.396152211613034e-06,1.1102230246251565e-16,4.775184810901223e-07,2.9471279735706215e-16,1.8875832159447664e-16,19.078282732040893
1,2,2,repeated,11,0.8646647167633873,3.3474751247011287,0.3883690784586919,0.8462342532234578,1.973556682413487e-06,2.220446049250313e-16,3.923838332031693e-07,3.469446951953614e-17,2.320207950733203e-16,18.431517933581826
1,2,2,repeated,29,0.8646647167633873,3.1218090352388503,1.721906014506811,0.7930819354776213,1.396152211613034e-06,1.1102230246251565e-16,4.775184810901223e-07,2.9471279735706215e-16,1.8875832159447664e-16,19.078282732040893
1,2,2,wide_bands,11,0.5034146962085905,6.512993423503932,0.20829108281879624,0.39089727976113214,6.689688697816016e-07,1.1102230246251565e-16,1.4470930286281103e-06,0.0,2.5579421442442716e-16,18.63078766249554
1,2,2,wide_bands,29,0.5034146962085905,6.611494675592591,0.7568562117337663,0.3767322454597446,4.7324831121834126e-07,0.0,1.7980087943514356e-06,0.0,5.519903389605708e-16,19.1911303644528
1,3,3,geometric,11,0.6321205588285577,1250.4945530377697,0.039184913828174094,1.0758581521844381,2.1338689356612335e-11,8.255534597165572e-16,9.560760512525597e-07,1.2358048413428596e-17,9.329146392021307e-15,21.856922438274424
1,3,3,geometric,29,0.6321205588285577,37.67595309654066,0.3750293879572384,0.5214696986142828,4.5934346010548506e-10,2.220446049250313e-16,8.189824307613947e-07,8.515242252840826e-17,7.924694351154449e-16,22.83786884336416
1,3,3,repeated,11,0.6321205588285577,1250.4945530377697,0.039184913828174094,1.0758581521844381,2.1338689356612335e-11,8.255534597165572e-16,9.560760512525597e-07,1.2358048413428596e-17,9.329146392021307e-15,21.856922438274424
1,3,3,repeated,29,0.6321205588285577,37.67595309654066,0.3750293879572384,0.5214696986142828,4.5934346010548506e-10,2.220446049250313e-16,8.189824307613947e-07,8.515242252840826e-17,7.924694351154449e-16,22.83786884336416
