epsilon,m,max_coefficient_over_epsilon,proved_upper_bound
1e-08,100000,2.4375958467493467e-10,0.005
2.539493830646546e-08,62752,2.437397534183412e-10,0.005
6.449028915891869e-08,39378,2.4374557164502124e-10,0.005
1.6377269145568584e-07,24711,2.435694962208714e-10,0.005
4.158997395800945e-07,15507,2.433799376082607e-10,0.005
1.0561748228311552e-06,9731,2.433244040903872e-10,0.005
2.682149446663922e-06,6107,2.425710415842487e-10,0.005
6.811301972675077e-06,3832,2.4306875815047826e-10,0.005
1.729725933827901e-05,2405,2.419968766064557e-10,0.005
4.39262833766529e-05,1509,2.429141341068611e-10,0.005
0.00011155052563824199,947,2.4238523502806443e-10,0.005
0.00028328187166369486,595,2.3345058683934096e-10,0.005
0.0007193925654239583,373,2.411026881572523e-10,0.005
0.0018268929817071339,234,2.4410833465701527e-10,0.005
0.00463938345629674,147,2.3844684841370873e-10,0.005
0.011781685665269222,93,1.9034987270880155e-10,0.005
0.029919518061568038,58,2.455902560073623e-10,0.005
0.07598043153326994,37,1.74126732700994e-10,0.005
0.1929518371286013,23,3.471373263311974e-10,0.005
0.49,15,2.7720346747727494e-10,0.005
