family,trial,n,k,epsilon,steps,queries,query_bound,residual_ratio,meets_target,orthogonality_error
flat_spike,0,96,4,0.1,2,24,24,1.0277806412812398,True,1.609437536277557e-15
flat_spike,0,96,4,0.1,4,40,40,1.0000499836722028,True,2.135677116928138e-15
flat_spike,0,96,4,0.1,8,72,72,1.0000000000697993,True,1.3047657064780925e-15
flat_spike,1,96,4,0.1,2,24,24,1.0457123490454927,True,1.9850586114922864e-15
flat_spike,1,96,4,0.1,4,40,40,1.00005890803601,True,2.0425434970082864e-15
flat_spike,1,96,4,0.1,8,72,72,1.0000000000064042,True,2.3385149271288067e-15
flat_spike,2,96,4,0.1,2,24,24,1.1612710252552958,False,1.2417838376452758e-15
flat_spike,2,96,4,0.1,4,40,40,1.000031176735937,True,2.9035661027085534e-15
flat_spike,2,96,4,0.1,8,72,72,1.0000000001400606,True,1.5893951212944358e-15
flat_spike,3,96,4,0.1,2,24,24,1.199993022804386,False,9.16100501286995e-16
flat_spike,3,96,4,0.1,4,40,40,1.1997453290891351,False,2.1018603120993266e-15
flat_spike,3,96,4,0.1,8,72,72,1.000227107553648,True,1.6348300437291746e-15
flat_spike,4,96,4,0.1,2,24,24,1.1396372092919842,False,1.145010279429973e-15
flat_spike,4,96,4,0.1,4,40,40,1.0001866715741092,True,1.519523561510636e-15
flat_spike,4,96,4,0.1,8,72,72,1.0000000003661642,True,2.2825068880464387e-15
flat_spike,5,96,4,0.1,2,24,24,1.195456519029057,False,1.370310142691256e-15
flat_spike,5,96,4,0.1,4,40,40,1.007296481860505,True,1.2994396974782504e-15
flat_spike,5,96,4,0.1,8,72,72,1.0000000128259705,True,8.921036627064468e-16
flat_spike,6,96,4,0.1,2,24,24,1.134413878761389,False,1.3936846670573476e-15
flat_spike,6,96,4,0.1,4,40,40,1.0004993729554612,True,2.7287457257246113e-15
flat_spike,6,96,4,0.1,8,72,72,1.0000000002612042,True,1.815154271062621e-15
flat_spike,7,96,4,0.1,2,24,24,1.1992882793122959,False,1.469860546881503e-15
flat_spike,7,96,4,0.1,4,40,40,1.0543965086971936,True,1.671410543469627e-15
flat_spike,7,96,4,0.1,8,72,72,1.0000000196502037,True,3.55198048437727e-15
flat_spike,8,96,4,0.1,2,24,24,1.1263963555867702,False,2.258115339481127e-15
flat_spike,8,96,4,0.1,4,40,40,1.0001249774477043,True,2.3666259750678356e-15
flat_spike,8,96,4,0.1,8,72,72,1.0000000004873277,True,2.0608738568332887e-15
flat_spike,9,96,4,0.1,2,24,24,1.0308993983541754,True,2.0254815894145213e-15
flat_spike,9,96,4,0.1,4,40,40,1.0000489164459008,True,1.360306869200663e-15
flat_spike,9,96,4,0.1,8,72,72,1.0000000000050508,True,8.764819351326691e-16
flat_spike,10,96,4,0.1,2,24,24,1.0141678545057284,True,1.682681503330831e-15
flat_spike,10,96,4,0.1,4,40,40,1.0000423505740592,True,1.258940703601653e-15
flat_spike,10,96,4,0.1,8,72,72,1.0000000002498355,True,3.388098563193688e-15
flat_spike,11,96,4,0.1,2,24,24,1.0953974673442093,True,1.6010544561261603e-15
flat_spike,11,96,4,0.1,4,40,40,1.000167352824577,True,2.4049452350018197e-15
flat_spike,11,96,4,0.1,8,72,72,1.000000000224907,True,1.3587228659472354e-15
flat_spike,12,96,4,0.1,2,24,24,1.0249599916919427,True,3.2892681358486647e-15
flat_spike,12,96,4,0.1,4,40,40,1.0000594218209653,True,1.577557700727243e-15
flat_spike,12,96,4,0.1,8,72,72,1.0000000002533587,True,2.7806143694392047e-15
flat_spike,13,96,4,0.1,2,24,24,1.0321437825644764,True,1.3917361808798983e-15
flat_spike,13,96,4,0.1,4,40,40,1.0000362484630363,True,1.2628414225320433e-15
flat_spike,13,96,4,0.1,8,72,72,1.0000000000839815,True,2.054368409060989e-15
flat_spike,14,96,4,0.1,2,24,24,1.1967302018354797,False,1.2837371856529774e-15
flat_spike,14,96,4,0.1,4,40,40,1.0264442702231695,True,1.2782728821749322e-15
flat_spike,14,96,4,0.1,8,72,72,1.0000000109120621,True,1.9692349899960373e-15
flat_spike,15,96,4,0.1,2,24,24,1.128393956246736,False,1.5552995721487584e-15
flat_spike,15,96,4,0.1,4,40,40,1.0009538720197515,True,2.1847567600645803e-15
flat_spike,15,96,4,0.1,8,72,72,1.0000000089351742,True,2.7174566716460403e-15
flat_spike,16,96,4,0.1,2,24,24,1.1420274874754144,False,1.8225952683832735e-15
flat_spike,16,96,4,0.1,4,40,40,1.000255310578569,True,1.503196382619717e-15
flat_spike,16,96,4,0.1,8,72,72,1.0000000000987765,True,1.102269852982797e-15
flat_spike,17,96,4,0.1,2,24,24,1.030079348570599,True,1.190796147814444e-15
flat_spike,17,96,4,0.1,4,40,40,1.0000846374584678,True,1.3994425140955527e-15
flat_spike,17,96,4,0.1,8,72,72,1.0000000000373985,True,1.8341393573579545e-15
flat_spike,18,96,4,0.1,2,24,24,1.1228052702858102,False,1.2303988301367737e-15
flat_spike,18,96,4,0.1,4,40,40,1.0001948985972866,True,1.1109382934676962e-15
flat_spike,18,96,4,0.1,8,72,72,1.0000000006894885,True,1.1769617551974578e-15
flat_spike,19,96,4,0.1,2,24,24,1.015232446277708,True,1.4165181765366195e-15
flat_spike,19,96,4,0.1,4,40,40,1.000213943586935,True,1.669280276671723e-15
