n,k,epsilon,trial,initial_residual,allowed_residual,initial_trace_fraction,final_trace_fraction,required_trace_fraction,queries,query_bound,meets_target
120,3,0.49,0,1.4899999999999995,1.49,0.548572920797662,0.9999999999999979,0.99755,45,45,True
120,3,0.49,1,1.4899999999999998,1.49,0.5476382725603064,0.9999999999999983,0.99755,45,45,True
120,3,0.49,2,1.4899999999999993,1.49,0.5651877454942213,0.9999999999999976,0.99755,45,45,True
120,3,0.49,3,1.4899999999999987,1.49,0.6053998456544272,0.9999999999999989,0.99755,45,45,True
120,3,0.49,4,1.4900000000000002,1.49,0.5685236628323902,0.9999999999999978,0.99755,45,45,True
120,3,0.49,5,1.4900000000000002,1.49,0.5515607486168758,0.999999999999998,0.99755,45,45,True
120,3,0.49,6,1.4899999999999995,1.49,0.591188034866246,0.9999999999999997,0.99755,45,45,True
120,3,0.49,7,1.4899999999999995,1.49,0.5484696518663855,1.0000000000000004,0.99755,45,45,True
120,3,0.49,8,1.4899999999999993,1.49,0.5531687006756228,0.9999999999999984,0.99755,45,45,True
120,3,0.49,9,1.49,1.49,0.534358170907509,1.0000000000000007,0.99755,45,45,True
120,3,0.49,10,1.4899999999999995,1.49,0.5605982978040077,0.9999999999999979,0.99755,45,45,True
120,3,0.49,11,1.4899999999999993,1.49,0.5186419312412038,0.9999999999999978,0.99755,45,45,True
120,3,0.49,12,1.4899999999999998,1.49,0.5593155822486509,0.9999999999999984,0.99755,45,45,True
120,3,0.49,13,1.4899999999999995,1.49,0.5289548298104437,0.9999999999999971,0.99755,45,45,True
120,3,0.49,14,1.489999999999999,1.49,0.5499629852023884,0.9999999999999993,0.99755,45,45,True
120,3,0.49,15,1.4900000000000004,1.49,0.5784264838907152,0.9999999999999986,0.99755,45,45,True
120,3,0.49,16,1.49,1.49,0.5673846067729069,0.9999999999999994,0.99755,45,45,True
120,3,0.49,17,1.4899999999999995,1.49,0.5657931471605715,1.0000000000000009,0.99755,45,45,True
120,3,0.49,18,1.4900000000000009,1.49,0.544071302550061,0.9999999999999984,0.99755,45,45,True
120,3,0.49,19,1.4899999999999995,1.49,0.5709412841677247,1.0,0.99755,45,45,True
160,3,0.1,0,1.100000000000001,1.1,0.5339574216986165,1.0000000000000009,0.9995,96,96,True
160,3,0.1,1,1.1000000000000012,1.1,0.5574939309121169,0.9999999999999998,0.9995,96,96,True
160,3,0.1,2,1.0999999999999996,1.1,0.4948522972989886,1.0,0.9995,96,96,True
160,3,0.1,3,1.0999999999999988,1.1,0.5435178414046254,1.0000000000000002,0.9995,96,96,True
160,3,0.1,4,1.1000000000000005,1.1,0.5414457904086829,0.9999999999999978,0.9995,96,96,True
160,3,0.1,5,1.1000000000000005,1.1,0.5008951974157042,0.9999999999999996,0.9995,96,96,True
160,3,0.1,6,1.0999999999999996,1.1,0.5446333570800249,0.9999999999999994,0.9995,96,96,True
160,3,0.1,7,1.1000000000000008,1.1,0.5402861557378367,1.000000000000001,0.9995,96,96,True
160,3,0.1,8,1.1000000000000005,1.1,0.5293087121218093,0.9999999999999994,0.9995,96,96,True
160,3,0.1,9,1.0999999999999992,1.1,0.5211554399215284,1.0000000000000009,0.9995,96,96,True
160,3,0.1,10,1.1,1.1,0.5300895969179289,1.0000000000000007,0.9995,96,96,True
160,3,0.1,11,1.0999999999999996,1.1,0.5325393065992531,0.9999999999999998,0.9995,96,96,True
160,3,0.1,12,1.1000000000000003,1.1,0.5669071630978526,1.0000000000000009,0.9995,96,96,True
160,3,0.1,13,1.0999999999999994,1.1,0.5297141394285314,0.9999999999999998,0.9995,96,96,True
160,3,0.1,14,1.0999999999999992,1.1,0.5443672147600425,0.9999999999999998,0.9995,96,96,True
160,3,0.1,15,1.1,1.1,0.5453907433553206,0.9999999999999996,0.9995,96,96,True
160,3,0.1,16,1.0999999999999999,1.1,0.5517515634293662,1.000000000000001,0.9995,96,96,True
160,3,0.1,17,1.1000000000000008,1.1,0.49738796884827097,1.0000000000000004,0.9995,96,96,True
160,3,0.1,18,1.0999999999999992,1.1,0.5206968630152373,0.9999999999999994,0.9995,96,96,True
160,3,0.1,19,1.0999999999999992,1.1,0.5277532357195089,1.000000000000002,0.9995,96,96,True
80,4,0.01,0,1.01,1.01,0.5536255227149101,0.9999999999999997,0.99995,80,400,True
80,4,0.01,1,1.01,1.01,0.5458531090629625,1.0000000000000009,0.99995,80,400,True
80,4,0.01,2,1.01,1.01,0.5797097514258244,1.0000000000000002,0.99995,80,400,True
80,4,0.01,3,1.0100000000000002,1.01,0.5535303500740244,0.9999999999999997,0.99995,80,400,True
80,4,0.01,4,1.0100000000000005,1.01,0.566089320948939,0.9999999999999999,0.99995,80,400,True
80,4,0.01,5,1.0100000000000007,1.01,0.5608588484306879,1.0000000000000009,0.99995,80,400,True
80,4,0.01,6,1.0100000000000007,1.01,0.5754792086350777,0.9999999999999996,0.99995,80,400,True
80,4,0.01,7,1.01,1.01,0.5859687150417477,0.9999999999999996,0.99995,80,400,True
80,4,0.01,8,1.0099999999999998,1.01,0.540205498747447,1.0,0.99995,80,400,True
80,4,0.01,9,1.0100000000000002,1.01,0.6028608497122173,1.0,0.99995,80,400,True
80,4,0.01,10,1.0099999999999996,1.01,0.5850618017685283,0.9999999999999999,0.99995,80,400,True
80,4,0.01,11,1.01,1.01,0.5795195631390762,1.0000000000000007,0.99995,80,400,True
80,4,0.01,12,1.0099999999999998,1.01,0.5735339428602676,1.0000000000000002,0.99995,80,400,True
80,4,0.01,13,1.0100000000000005,1.01,0.5779006830411119,1.0000000000000004,0.99995,80,400,True
80,4,0.01,14,1.0100000000000011,1.01,0.5920411391764675,1.0,0.99995,80,400,True
80,4,0.01,15,1.0100000000000002,1.01,0.5560596270313503,1.0000000000000002,0.99995,80,400,True
80,4,0.01,16,1.0100000000000002,1.01,0.5597069047729599,1.0000000000000007,0.99995,80,400,True
80,4,0.01,17,1.0100000000000005,1.01,0.5506197588645126,1.0000000000000007,0.99995,80,400,True
80,4,0.01,18,1.009999999999999,1.01,0.5289998095712304,0.9999999999999996,0.99995,80,400,True
80,4,0.01,19,1.0099999999999998,1.01,0.5654639702923142,1.0000000000000004,0.99995,80,400,True
