n,k,nu,strategy,trial,seed,t,potential,expectation_upper_bound,kernel_trace,orthogonality_error,total_queries_in_run
48,1,2,random,0,722100,0,0.0,0.0,0.0,0.0,12
48,1,2,random,0,722100,1,0.0008306365043252085,0.16666666666666666,0.00041549078918180256,0.0,12
48,1,2,random,0,722100,2,0.10231027773141663,0.3333333333333333,0.05386356073501186,5.336288996070801e-18,12
48,1,2,random,0,722100,3,0.16407035138955434,0.5,0.08914860351136433,1.176086289788352e-16,12
48,1,2,random,0,722100,4,0.17111855267502496,0.6666666666666666,0.09331570950606877,1.1830854853968262e-16,12
48,1,2,random,0,722100,5,0.3787353129377154,0.8333333333333334,0.23021821297657252,1.1831178356892486e-16,12
48,1,2,random,0,722100,6,0.3986537233132616,1.0,0.24490882008031276,2.325350191184759e-16,12
48,1,2,random,0,722100,7,0.3998712316301335,1.1666666666666667,0.2458163050872443,2.4222457947009475e-16,12
48,1,2,random,0,722100,8,0.40525686328283084,1.3333333333333333,0.2498438326420861,2.5082474218925673e-16,12
48,1,2,random,0,722100,9,0.4267873502383016,1.5,0.2661633890757482,2.5220298858877635e-16,12
48,1,2,random,0,722100,10,0.45690613707103583,1.6666666666666667,0.28959032538574536,2.522112527564519e-16,12
48,1,2,random,0,722100,11,0.536358540852101,1.8333333333333333,0.3548847284097799,2.5552042700752e-16,12
48,1,2,random,0,722100,12,0.5404108006437929,2.0,0.358355971861328,2.9446968007724796e-16,12
48,1,2,random,1,722101,0,0.0,0.0,0.0,0.0,12
48,1,2,random,1,722101,1,0.03298598560070044,0.16666666666666666,0.016768027376423984,2.220446049250313e-16,12
48,1,2,random,1,722101,2,0.034111149340830524,0.3333333333333333,0.017349803258073032,6.573325722703959e-18,12
48,1,2,random,1,722101,3,0.10885620881845137,0.5,0.05750100567870788,2.2575098760100263e-16,12
48,1,2,random,1,722101,4,0.16649120027068914,0.6666666666666666,0.09057657099835892,3.3431773607121024e-16,12
48,1,2,random,1,722101,5,0.16699616786400137,0.8333333333333334,0.09087486833698862,3.353042428226273e-16,12
48,1,2,random,1,722101,6,0.1706658731114149,1.0,0.09304718839120248,3.35710928816968e-16,12
48,1,2,random,1,722101,7,0.44363970756142207,1.1666666666666667,0.27918445796320457,3.6315422353586077e-16,12
48,1,2,random,1,722101,8,0.47187455290362734,1.3333333333333333,0.30149813994204194,3.640597315268485e-16,12
48,1,2,random,1,722101,9,0.5032688063602394,1.5,0.327059719626622,3.836627844142387e-16,12
48,1,2,random,1,722101,10,0.5047779655511254,1.6666666666666667,0.3283088267175547,3.841784661412464e-16,12
48,1,2,random,1,722101,11,0.5137494046727962,1.8333333333333333,0.33577338276908497,4.0148147397997223e-16,12
48,1,2,random,1,722101,12,0.5216469274737632,2.0,0.3424000548201835,3.697078595140204e-16,12
48,1,2,random,2,722102,0,0.0,0.0,0.0,0.0,12
48,1,2,random,2,722102,1,0.002838501112296493,0.16666666666666666,0.0014212667354804149,0.0,12
48,1,2,random,2,722102,2,0.034557271559399076,0.3333333333333333,0.01758065599051643,2.2220219057880232e-16,12
48,1,2,random,2,722102,3,0.03465545457807922,0.5,0.017631476116527735,2.2316505943745706e-16,12
48,1,2,random,2,722102,4,0.035559786734364565,0.6666666666666666,0.018099798633124282,2.5688953969906697e-16,12
48,1,2,random,2,722102,5,0.2944617360506605,0.8333333333333334,0.17120179836189622,2.651148896623671e-16,12
48,1,2,random,2,722102,6,0.36247203676846634,1.0,0.21843852034948347,2.6568171644520565e-16,12
48,1,2,random,2,722102,7,0.3854758200307455,1.1666666666666667,0.23515687988147108,2.681101652515941e-16,12
48,1,2,random,2,722102,8,0.39443081699106725,1.3333333333333333,0.2417697725312762,2.68282149583212e-16,12
48,1,2,random,2,722102,9,0.3978076763121276,1.5,0.24427885873299676,2.7035554479350963e-16,12
48,1,2,random,2,722102,10,0.4252545197173945,1.6666666666666667,0.26498989006628854,2.953798152990418e-16,12
