n,k,nu,t,trial,pseudodeterminant_log_error,potential_graph_error,kernel_equation_error
18,2,0,4,0,3.730349362740526e-14,6.106226635438361e-16,5.992812573884436e-16
18,2,0,4,1,2.6645352591003757e-14,8.604228440844963e-16,6.175851797725917e-16
18,2,0,4,2,1.4566126083082054e-13,4.884981308350689e-15,3.4119536592820914e-16
18,2,0,4,3,7.105427357601002e-15,2.7755575615628914e-17,6.335714480279176e-16
18,2,0,4,4,1.0658141036401503e-14,7.771561172376096e-16,6.295790913587809e-16
18,2,0,4,5,3.552713678800501e-15,1.9984014443252818e-15,4.993990484704787e-16
18,2,0,4,6,1.5987211554602254e-13,2.3037127760972e-15,4.335901153433595e-16
18,2,0,4,7,6.572520305780927e-14,4.191091917959966e-15,3.827874019192022e-16
18,2,4,4,0,7.993605777301127e-15,6.661338147750939e-16,7.117590203161768e-16
18,2,4,4,1,1.865174681370263e-14,1.1102230246251565e-16,6.882140482073657e-16
18,2,4,4,2,6.217248937900877e-15,3.3306690738754696e-16,6.41661731085e-16
18,2,4,4,3,1.7763568394002505e-15,1.8318679906315083e-15,7.186089366394154e-16
18,2,4,4,4,1.4210854715202004e-14,2.886579864025407e-15,6.549022982021318e-16
18,2,4,4,5,1.7763568394002505e-15,2.1094237467877974e-15,9.303788392826852e-16
18,2,4,4,6,6.217248937900877e-15,1.3322676295501878e-15,7.07597604475841e-16
18,2,4,4,7,1.7763568394002505e-14,1.6653345369377348e-15,7.476533046326906e-16
18,2,20,4,0,5.329070518200751e-15,4.440892098500626e-16,7.075442037153413e-16
18,2,20,4,1,7.105427357601002e-15,1.7763568394002505e-15,7.593103675073929e-16
18,2,20,4,2,9.769962616701378e-15,1.3322676295501878e-15,7.797435902480453e-16
18,2,20,4,3,0.0,8.881784197001252e-16,1.1180098453848093e-15
18,2,20,4,4,8.881784197001252e-16,4.440892098500626e-16,7.285296114189303e-16
18,2,20,4,5,1.7763568394002505e-15,1.7763568394002505e-15,8.935857636678324e-16
18,2,20,4,6,0.0,4.440892098500626e-16,1.709633453661074e-15
18,2,20,4,7,1.7763568394002505e-15,6.661338147750939e-16,1.018162151022317e-15
28,3,0,6,0,7.105427357601002e-14,2.4424906541753444e-15,6.641694517849936e-16
28,3,0,6,1,1.6342482922482304e-13,1.9984014443252818e-15,6.530679549705257e-16
28,3,0,6,2,2.842170943040401e-14,1.2490009027033011e-15,6.285106099882487e-16
28,3,0,6,3,3.197442310920451e-14,5.800915303666443e-15,7.590172071195385e-16
28,3,0,6,4,3.197442310920451e-14,2.220446049250313e-16,7.852354060692834e-16
28,3,0,6,5,8.171241461241152e-14,1.3877787807814457e-16,8.047916440339921e-16
28,3,0,6,6,7.105427357601002e-15,3.608224830031759e-16,6.823045226823818e-16
28,3,0,6,7,6.039613253960852e-14,1.7208456881689926e-15,7.441611312856144e-16
28,3,4,6,0,1.9539925233402755e-14,4.440892098500626e-16,8.342343542227714e-16
28,3,4,6,1,1.5987211554602254e-14,3.3306690738754696e-16,7.462912448645801e-16
28,3,4,6,2,4.618527782440651e-14,8.881784197001252e-16,6.521426234037949e-16
28,3,4,6,3,1.7763568394002505e-15,3.3306690738754696e-16,5.671536659330594e-16
28,3,4,6,4,0.0,0.0,7.099750471400662e-16
28,3,4,6,5,5.329070518200751e-15,5.551115123125783e-16,8.451958946930722e-16
28,3,4,6,6,0.0,2.220446049250313e-15,7.492563252199077e-16
28,3,4,6,7,0.0,1.1102230246251565e-16,7.694164654783413e-16
28,3,20,6,0,1.865174681370263e-14,3.1086244689504383e-15,1.2127916668888344e-15
28,3,20,6,1,8.881784197001252e-16,8.881784197001252e-16,1.0893131230125196e-15
28,3,20,6,2,1.9539925233402755e-14,2.220446049250313e-15,1.1789735575176914e-15
28,3,20,6,3,4.440892098500626e-15,4.440892098500626e-15,1.0903330879237362e-15
28,3,20,6,4,2.3092638912203256e-14,8.881784197001252e-16,1.018541402597254e-15
28,3,20,6,5,6.217248937900877e-15,3.9968028886505635e-15,1.0538949197081295e-15
28,3,20,6,6,1.7763568394002505e-15,8.881784197001252e-16,1.0265817157862258e-15
28,3,20,6,7,1.509903313490213e-14,1.7763568394002505e-15,1.3468069196305384e-15
48,4,0,8,0,4.263256414560601e-14,1.2073675392798577e-15,1.456997624508299e-15
48,4,0,8,1,3.552713678800501e-14,3.608224830031759e-16,8.952971641355724e-16
48,4,0,8,2,1.4210854715202004e-14,9.43689570931383e-16,2.8906068655340285e-15
48,4,0,8,3,9.237055564881302e-14,7.466249840604178e-15,1.4634438455763884e-15
48,4,0,8,4,1.9184653865522705e-13,1.915134717478395e-15,1.7092080192946181e-15
48,4,0,8,5,3.552713678800501e-14,7.216449660063518e-16,1.2953934640816851e-15
48,4,0,8,6,6.039613253960852e-14,3.469446951953614e-16,2.1342303678135942e-15
48,4,0,8,7,8.881784197001252e-14,8.326672684688674e-16,1.5204449181819689e-15
48,4,4,8,0,4.618527782440651e-14,1.9984014443252818e-15,2.1412056447671065e-15
48,4,4,8,1,1.0658141036401503e-14,9.992007221626409e-16,1.6166859613496276e-15
48,4,4,8,2,1.0302869668521453e-13,1.4432899320127035e-15,1.984548569561103e-15
48,4,4,8,3,2.4868995751603507e-14,2.0539125955565396e-15,2.700425766286945e-15
48,4,4,8,4,7.105427357601002e-15,1.887379141862766e-15,1.469578742223829e-15
48,4,4,8,5,6.039613253960852e-14,2.6645352591003757e-15,2.510214075273353e-15
48,4,4,8,6,3.907985046680551e-14,1.8984813721090177e-14,1.4922744574502328e-15
48,4,4,8,7,1.7763568394002505e-14,2.3314683517128287e-15,2.0336214826583727e-15
48,4,20,8,0,1.7763568394002505e-15,8.881784197001252e-16,1.2754353209167342e-15
48,4,20,8,1,6.217248937900877e-15,1.5543122344752192e-15,1.3560226048093197e-15
48,4,20,8,2,1.0658141036401503e-14,1.3322676295501878e-15,1.6340422317332507e-15
48,4,20,8,3,3.8191672047105385e-14,2.6645352591003757e-15,1.369019339940472e-15
48,4,20,8,4,1.687538997430238e-14,1.7763568394002505e-15,1.6949173823355186e-15
48,4,20,8,5,4.440892098500626e-15,8.881784197001252e-16,1.9272879105765534e-15
48,4,20,8,6,1.0658141036401503e-14,1.7763568394002505e-15,1.5660899800351536e-15
48,4,20,8,7,1.1546319456101628e-14,6.661338147750939e-15,1.4723625797895673e-15
