n,k,nu,strategy,t,runs,mean_potential,sample_standard_error,expectation_upper_bound,mean_over_bound
48,1,2,random,0,8,0.0,0.0,0.0,0.0
48,1,2,random,1,8,0.018619077704212852,0.005906166278251665,0.16666666666666666,0.11171446622527711
48,1,2,random,2,8,0.04164205777905679,0.011082190956211374,0.3333333333333333,0.12492617333717036
48,1,2,random,3,8,0.064611923505692,0.017553534669685247,0.5,0.129223847011384
48,1,2,random,4,8,0.09982163163612942,0.019948722234360353,0.6666666666666666,0.14973244745419415
48,1,2,random,5,8,0.17910517576470084,0.03800512907858867,0.8333333333333334,0.214926210917641
48,1,2,random,6,8,0.20857407038698,0.041643914756991654,1.0,0.20857407038698
48,1,2,random,7,8,0.2779439412224043,0.0525869007893767,1.1666666666666667,0.23823766390491793
48,1,2,random,8,8,0.2953138353865296,0.051423572574086626,1.3333333333333333,0.22148537653989722
48,1,2,random,9,8,0.3243138269114509,0.04862291610656189,1.5,0.21620921794096726
48,1,2,random,10,8,0.34290823442507007,0.049125534754411726,1.6666666666666667,0.20574494065504204
48,1,2,random,11,8,0.3877169846168601,0.04919833735730181,1.8333333333333333,0.21148199160919642
48,1,2,random,12,8,0.39939761184227396,0.04962200156931093,2.0,0.19969880592113698
48,1,2,krylov,0,8,0.0,0.0,0.0,0.0
48,1,2,krylov,1,8,0.032859121829275875,0.009922839223610546,0.16666666666666666,0.19715473097565525
48,1,2,krylov,2,8,0.06351427304854868,0.01733919887497469,0.3333333333333333,0.19054281914564603
48,1,2,krylov,3,8,0.09632968160245153,0.025924362737547366,0.5,0.19265936320490307
48,1,2,krylov,4,8,0.13456282270575298,0.03834155488716733,0.6666666666666666,0.20184423405862947
48,1,2,krylov,5,8,0.17327695003849092,0.049824116555272344,0.8333333333333334,0.2079323400461891
48,1,2,krylov,6,8,0.2195296851630219,0.06218682338335121,1.0,0.2195296851630219
48,1,2,krylov,7,8,0.2598771349890112,0.07140011173506493,1.1666666666666667,0.22275182999058102
48,1,2,krylov,8,8,0.30065060782341424,0.0803798866166906,1.3333333333333333,0.22548795586756068
48,1,2,krylov,9,8,0.3378381986106219,0.08693437732293255,1.5,0.2252254657404146
48,1,2,krylov,10,8,0.3745702989397407,0.09064194530861834,1.6666666666666667,0.2247421793638444
48,1,2,krylov,11,8,0.4120578411421858,0.09369166350260896,1.8333333333333333,0.22475882244119227
48,1,2,krylov,12,8,0.4571700008239966,0.09863994039774646,2.0,0.2285850004119983
48,1,2,reply_null,0,8,0.0,0.0,0.0,0.0
48,1,2,reply_null,1,8,0.03467252853366315,0.014465085136245108,0.16666666666666666,0.2080351712019789
48,1,2,reply_null,2,8,0.1027587009576924,0.05478320692159013,0.3333333333333333,0.3082761028730772
48,1,2,reply_null,3,8,0.11955480741233715,0.05373405098978231,0.5,0.2391096148246743
48,1,2,reply_null,4,8,0.17215700993109892,0.05597148166798052,0.6666666666666666,0.2582355148966484
48,1,2,reply_null,5,8,0.22452216252666252,0.05211721244860744,0.8333333333333334,0.269426595031995
48,1,2,reply_null,6,8,0.25245842113028594,0.05241523248097922,1.0,0.25245842113028594
48,1,2,reply_null,7,8,0.26381184859718465,0.054229062942652145,1.1666666666666667,0.2261244416547297
48,1,2,reply_null,8,8,0.3020886771936965,0.05280250242317602,1.3333333333333333,0.22656650789527236
48,1,2,reply_null,9,8,0.3239989241673762,0.05052118558246398,1.5,0.21599928277825078
48,1,2,reply_null,10,8,0.3464370322138087,0.049278355725224945,1.6666666666666667,0.20786221932828522
48,1,2,reply_null,11,8,0.3768827545495686,0.05430938405526104,1.8333333333333333,0.20557241157249198
48,1,2,reply_null,12,8,0.4236889129438588,0.05006502763220734,2.0,0.2118444564719294
48,1,8,random,0,8,0.0,0.0,0.0,0.0
48,1,8,random,1,8,0.3151864687798917,0.1062491069720582,0.6666666666666666,0.4727797031698376
48,1,8,random,2,8,0.47833594095741927,0.0989796458976801,1.3333333333333333,0.35875195571806445
48,1,8,random,3,8,0.5577809276370369,0.08689855108881189,2.0,0.27889046381851845
48,1,8,random,4,8,0.6590952650666893,0.12283143842718589,2.6666666666666665,0.24716072440000847
48,1,8,random,5,8,0.699757592229303,0.11950703150707168,3.3333333333333335,0.20992727766879088
48,1,8,random,6,8,0.757784214241759,0.11456335821626822,4.0,0.18944605356043975
48,1,8,random,7,8,0.8482249542130176,0.1100437667591398,4.666666666666667,0.18176249018850377
48,1,8,random,8,8,0.8996369057842101,0.10641999348554874,5.333333333333333,0.1686819198345394
48,1,8,random,9,8,0.9191693101780573,0.10775931406286088,6.0,0.1531948850296762
