n,k,nu,strategy,trial,seed,t,potential,expectation_upper_bound,kernel_trace,orthogonality_error,total_queries_in_run
48,1,2,random,0,722100,0,0.0,0.0,0.0,0.0,12
48,1,2,random,0,722100,1,0.0008306365043252085,0.16666666666666666,0.00041549078918178955,2.220446049250313e-16,12
48,1,2,random,0,722100,2,0.10231027773141663,0.3333333333333333,0.05386356073501186,2.0816681711721685e-17,12
48,1,2,random,0,722100,3,0.16407035138955392,0.5,0.08914860351136421,4.9572595468780185e-17,12
48,1,2,random,0,722100,4,0.17111855267502454,0.6666666666666666,0.09331570950606863,2.294807953668352e-16,12
48,1,2,random,0,722100,5,0.378735312937715,0.8333333333333334,0.2302182129765724,2.3551049819928596e-16,12
48,1,2,random,0,722100,6,0.3986537233132612,1.0,0.24490882008031264,2.357769515744974e-16,12
48,1,2,random,0,722100,7,0.3998712316301331,1.1666666666666667,0.2458163050872442,2.4600132275384993e-16,12
48,1,2,random,0,722100,8,0.40525686328283045,1.3333333333333333,0.24984383264208598,4.466966141179888e-16,12
48,1,2,random,0,722100,9,0.4267873502383009,1.5,0.266163389075748,4.46709308069249e-16,12
48,1,2,random,0,722100,10,0.4569061370710355,1.6666666666666667,0.28959032538574514,4.469716015002004e-16,12
48,1,2,random,0,722100,11,0.536358540852101,1.8333333333333333,0.35488472840977964,4.474840583866986e-16,12
48,1,2,random,0,722100,12,0.5404108006437925,2.0,0.35835597186132784,4.477015528783967e-16,12
48,1,2,random,1,722101,0,0.0,0.0,0.0,0.0,12
48,1,2,random,1,722101,1,0.032985985600699576,0.16666666666666666,0.01676802737642369,1.1102230246251565e-16,12
48,1,2,random,1,722101,2,0.03411114934082965,0.3333333333333333,0.017349803258072696,2.2339168529382264e-16,12
48,1,2,random,1,722101,3,0.10885620881845011,0.5,0.05750100567870727,2.2779320363763777e-16,12
48,1,2,random,1,722101,4,0.1664912002706883,0.6666666666666666,0.09057657099835849,2.6812014386330757e-16,12
48,1,2,random,1,722101,5,0.16699616786400054,0.8333333333333334,0.09087486833698817,2.6976358274144613e-16,12
48,1,2,random,1,722101,6,0.1706658731114141,1.0,0.09304718839120207,2.711059209717693e-16,12
48,1,2,random,1,722101,7,0.44363970756142135,1.1666666666666667,0.2791844579632041,3.2697987896154726e-16,12
48,1,2,random,1,722101,8,0.4718745529036266,1.3333333333333333,0.30149813994204133,5.908077347894219e-16,12
48,1,2,random,1,722101,9,0.5032688063602391,1.5,0.3270597196266216,5.909656193453631e-16,12
48,1,2,random,1,722101,10,0.5047779655511251,1.6666666666666667,0.3283088267175543,5.919139862829706e-16,12
48,1,2,random,1,722101,11,0.5137494046727962,1.8333333333333333,0.33577338276908486,5.919646177989848e-16,12
48,1,2,random,1,722101,12,0.5216469274737628,2.0,0.3424000548201832,5.927154067939104e-16,12
48,1,2,random,2,722102,0,0.0,0.0,0.0,0.0,12
48,1,2,random,2,722102,1,0.002838501112296493,0.16666666666666666,0.0014212667354803767,2.220446049250313e-16,12
48,1,2,random,2,722102,2,0.03455727155939951,0.3333333333333333,0.01758065599051649,4.85722573273506e-17,12
48,1,2,random,2,722102,3,0.03465545457807922,0.5,0.017631476116527794,1.350911572935701e-16,12
48,1,2,random,2,722102,4,0.035559786734365,0.6666666666666666,0.01809979863312435,3.4112168264027914e-16,12
48,1,2,random,2,722102,5,0.2944617360506601,0.8333333333333334,0.17120179836189622,3.4112745314853714e-16,12
48,1,2,random,2,722102,6,0.36247203676846634,1.0,0.21843852034948358,3.411466249712763e-16,12
48,1,2,random,2,722102,7,0.3854758200307459,1.1666666666666667,0.23515687988147138,3.447842165481255e-16,12
48,1,2,random,2,722102,8,0.39443081699106797,1.3333333333333333,0.2417697725312766,4.607669877492767e-16,12
48,1,2,random,2,722102,9,0.397807676312128,1.5,0.2442788587329972,4.610945325308057e-16,12
48,1,2,random,2,722102,10,0.4252545197173956,1.6666666666666667,0.2649898900662892,4.617602724061773e-16,12
48,1,2,random,2,722102,11,0.44694253787006644,1.8333333333333333,0.28176222662989164,4.619495706429661e-16,12
48,1,2,random,2,722102,12,0.45660544253405416,2.0,0.28935293558114544,4.623917030881677e-16,12
48,1,2,random,3,722103,0,0.0,0.0,0.0,0.0,12
48,1,2,random,3,722103,1,0.04160269166537205,0.16666666666666666,0.0212401051919024,0.0,12
48,1,2,random,3,722103,2,0.07417011141468885,0.3333333333333333,0.03849499910319654,0.0,12
48,1,2,random,3,722103,3,0.0759906077637435,0.5,0.03947622016673254,0.0,12
48,1,2,random,3,722103,4,0.07666298300407813,0.6666666666666666,0.039839072592745536,2.233727870894229e-16,12
48,1,2,random,3,722103,5,0.08050646348191061,0.8333333333333334,0.041917925986517245,2.240285162445527e-16,12
48,1,2,random,3,722103,6,0.10006101285510187,1.0,0.052619174882906884,2.2614838720364303e-16,12
48,1,2,random,3,722103,7,0.10795463139541275,1.1666666666666667,0.05699860187066328,2.3877466588515127e-16,12
48,1,2,random,3,722103,8,0.11935561761229442,1.3333333333333333,0.06338527325012844,2.790432788878305e-16,12
48,1,2,random,3,722103,9,0.13200831701892216,1.5,0.07055890496309294,2.7989439019611254e-16,12
48,1,2,random,3,722103,10,0.13598402978877752,1.6666666666666667,0.07283179847956417,2.843819480429611e-16,12
48,1,2,random,3,722103,11,0.1637243431880842,1.8333333333333333,0.0889447885255266,2.9792044459618894e-16,12
48,1,2,random,3,722103,12,0.185132335683414,2.0,0.10168883969927626,2.9803110756148084e-16,12
48,1,2,random,4,722104,0,0.0,0.0,0.0,0.0,12
48,1,2,random,4,722104,1,0.003884274551264788,0.16666666666666666,0.001945914061270639,0.0,12
48,1,2,random,4,722104,2,0.011831785234111327,0.3333333333333333,0.0059510288405223,2.229086047453109e-16,12
48,1,2,random,4,722104,3,0.017651649266611617,0.5,0.008904180169613021,2.2482862423773233e-16,12
48,1,2,random,4,722104,4,0.027489821919136306,0.6666666666666666,0.013935576649148212,2.498001805406602e-16,12
48,1,2,random,4,722104,5,0.06939659495939723,0.8333333333333334,0.03593060981057253,2.538904053899387e-16,12
48,1,2,random,4,722104,6,0.06952144012098836,1.0,0.03599752233092128,2.585781119762289e-16,12
48,1,2,random,4,722104,7,0.08629183609991085,1.1666666666666667,0.04506220977331778,2.585897384910383e-16,12
48,1,2,random,4,722104,8,0.08973356598256106,1.3333333333333333,0.04694139864384872,5.685808603142446e-16,12
48,1,2,random,4,722104,9,0.15365886400647208,1.5,0.0830465113087942,5.7252827052863805e-16,12
48,1,2,random,4,722104,10,0.1670792968682054,1.6666666666666667,0.0909239892180592,5.736661881148796e-16,12
48,1,2,random,4,722104,11,0.2562570700072709,1.8333333333333333,0.14604242075462864,5.736938017287671e-16,12
48,1,2,random,4,722104,12,0.2642473715121932,2.0,0.1512251727827576,5.779804066226758e-16,12
48,1,2,random,5,722105,0,0.0,0.0,0.0,0.0,12
48,1,2,random,5,722105,1,0.03844256945342924,0.16666666666666666,0.0195955226672305,1.1102230246251565e-16,12
48,1,2,random,5,722105,2,0.04022417300191241,0.3333333333333333,0.02052206101111312,3.8163916471489756e-17,12
48,1,2,random,5,722105,3,0.04740317611894504,0.5,0.024272336020769048,2.3235238276032073e-16,12
48,1,2,random,5,722105,4,0.1420370003735868,0.6666666666666666,0.0763096475462762,2.69830652670824e-16,12
48,1,2,random,5,722105,5,0.14203700594647137,0.8333333333333334,0.07630965075798354,2.7256616652410935e-16,12
48,1,2,random,5,722105,6,0.14327518690270938,1.0,0.07702366834271492,2.9989538934614543e-16,12
48,1,2,random,5,722105,7,0.15847851682711783,1.1666666666666667,0.0858633757732162,3.003987526160463e-16,12
48,1,2,random,5,722105,8,0.23060721872982054,1.3333333333333333,0.12968224375396098,3.421236948262349e-16,12
