n,k,epsilon,y,F_lower_scale,U_upper_scale_without_constants,scale_ratio,maximum_ratio_for_this_x
100,1,1e-08,0.01,99.50330853168083,100,1.0049917080713053,2.969071778997014
100,1,1e-06,0.1,95.31017980432485,100,1.049205868725707,2.969071778997014
100,1,0.0001,1,69.31471805599453,100,1.4426950408889634,2.969071778997014
100,1,0.0005605170185988091,2.3675240623884037,51.28470683957339,100,1.9498990276539103,2.969071778997014
100,1,0.003141793281388977,5.605170185988091,33.68055993371138,99.99999999999999,2.9690717789970136,2.969071778997014
100,1,0.09870865022980917,31.41793281388977,11.072376315146732,17.840671501818424,1.6112775608441734,2.969071778997014
100,1,0.010000000000000002,10.0,23.978952727983707,56.05170185988091,2.337537527002501,2.969071778997014
100,2,4e-08,0.01,99.50330853168083,100,1.0049917080713053,2.764240838008648
100,2,4e-06,0.1,95.31017980432485,100,1.049205868725707,2.764240838008648
100,2,0.0004,1,69.31471805599453,100,1.4426950408889634,2.764240838008648
100,2,0.001964809202171258,2.2163084183903976,52.71081579917111,100,1.8971438495848991,2.764240838008648
100,2,0.009651188002342144,4.912023005428146,36.176297891626454,100,2.7642408380086483,2.764240838008648
100,2,0.23286357464138235,24.12797000585536,13.362009186015083,20.35821084092901,1.5235890469403568,2.764240838008648
100,2,0.02,7.0710678118654755,29.53282089472976,69.46649552965135,2.3521794879421054,2.764240838008648
100,10,1e-06,0.01,99.50330853168083,100,1.0049917080713053,2.263259882750703
100,10,0.0001,0.1,95.31017980432485,100,1.049205868725707,2.263259882750703
100,10,0.010000000000000002,1,69.31471805599453,100,1.4426950408889634,2.263259882750703
100,10,0.03302585092994045,1.817301596597011,56.995467793990755,100,1.754525471419034,2.263259882750703
100,10,0.10907068296466488,3.3025850929940455,44.184055380534915,100,2.2632598827507024,2.263259882750703
100,10,0.1,3.1622776601683795,45.0960539255568,100,2.217488921870569,2.263259882750703
1000,1,1.0000000000000002e-10,0.01,995.0330853168083,1000,1.0049917080713053,3.6159288156985046
1000,1,1e-08,0.1,953.1017980432486,1000,1.049205868725707,3.6159288156985046
