n,k,nu,t,trial,pseudodeterminant_log_error,potential_graph_error,kernel_equation_error
18,2,0,4,0,5.861977570020827e-14,1.6375789613221059e-15,4.214308211759332e-16
18,2,0,4,1,7.105427357601002e-15,0.0,6.001289556054428e-16
18,2,0,4,2,1.7763568394002505e-14,6.661338147750939e-15,5.9098949933151745e-16
18,2,0,4,3,1.7763568394002505e-15,2.498001805406602e-16,6.085759761566536e-16
18,2,0,4,4,2.1316282072803006e-14,2.4980018054066022e-15,5.415852468155535e-16
18,2,0,4,5,1.2434497875801753e-14,3.3306690738754696e-16,2.7313095940318776e-16
18,2,0,4,6,1.5276668818842154e-13,4.0245584642661925e-15,5.418789403965442e-16
18,2,0,4,7,6.394884621840902e-14,5.578870698741412e-15,5.30167748337644e-16
18,2,4,4,0,8.881784197001252e-16,5.551115123125783e-16,5.389964630971782e-16
18,2,4,4,1,0.0,7.216449660063518e-16,4.660764911076314e-16
18,2,4,4,2,2.042810365310288e-14,2.220446049250313e-15,7.587076138786804e-16
18,2,4,4,3,0.0,1.4988010832439613e-15,9.414361027647175e-16
18,2,4,4,4,1.687538997430238e-14,1.5543122344752192e-15,5.106446188770346e-16
18,2,4,4,5,3.552713678800501e-15,5.551115123125783e-16,5.14022561693048e-16
18,2,4,4,6,5.329070518200751e-15,0.0,6.397184707527302e-16
18,2,4,4,7,1.1546319456101628e-14,1.9984014443252818e-15,6.662824521069512e-16
18,2,20,4,0,7.105427357601002e-15,8.881784197001252e-16,6.428076187731627e-16
18,2,20,4,1,5.329070518200751e-15,0.0,1.01183549387111e-15
18,2,20,4,2,3.552713678800501e-15,1.3322676295501878e-15,7.588653239890458e-16
18,2,20,4,3,8.881784197001252e-15,4.440892098500626e-16,9.924858750685566e-16
18,2,20,4,4,8.881784197001252e-16,0.0,1.551833150715297e-15
18,2,20,4,5,3.552713678800501e-15,6.661338147750939e-16,1.2063512224098939e-15
18,2,20,4,6,3.552713678800501e-15,7.771561172376096e-16,1.239650878823822e-15
18,2,20,4,7,7.105427357601002e-15,2.220446049250313e-16,1.1355393390892652e-15
28,3,0,6,0,0.0,1.9984014443252818e-15,5.618959576233666e-16
28,3,0,6,1,2.4868995751603507e-14,1.4988010832439613e-15,7.286796485388136e-16
28,3,0,6,2,3.552713678800501e-14,3.608224830031759e-16,5.531636119099687e-16
28,3,0,6,3,4.618527782440651e-14,3.6914915568786455e-15,8.369599019126939e-16
28,3,0,6,4,2.1316282072803006e-14,8.049116928532385e-16,7.062501500189917e-16
28,3,0,6,5,1.4210854715202004e-14,1.3877787807814457e-15,5.7517378682971e-16
28,3,0,6,6,1.7763568394002505e-14,1.6653345369377348e-16,7.288880957498343e-16
28,3,0,6,7,1.4210854715202004e-14,9.43689570931383e-16,7.725332954498097e-16
28,3,4,6,0,3.907985046680551e-14,1.2212453270876722e-15,6.683912058233414e-16
28,3,4,6,1,1.0658141036401503e-14,1.3322676295501878e-15,7.870100337840134e-16
28,3,4,6,2,5.329070518200751e-15,3.1086244689504383e-15,8.445736311815444e-16
28,3,4,6,3,1.7763568394002505e-15,1.1102230246251565e-16,6.476947357023985e-16
28,3,4,6,4,1.2434497875801753e-14,3.3306690738754696e-16,6.394590777106726e-16
28,3,4,6,5,5.5067062021407764e-14,1.1102230246251565e-15,8.050045642416928e-16
28,3,4,6,6,5.861977570020827e-14,2.220446049250313e-15,6.697823986613541e-16
28,3,4,6,7,2.3092638912203256e-14,1.8318679906315083e-15,6.24030957555842e-16
28,3,20,6,0,3.552713678800501e-15,1.3322676295501878e-15,1.1157073011065786e-15
28,3,20,6,1,1.0658141036401503e-14,8.881784197001252e-16,9.705414827586536e-16
28,3,20,6,2,1.4210854715202004e-14,2.220446049250313e-15,1.1189090253585918e-15
28,3,20,6,3,2.6645352591003757e-15,4.440892098500626e-16,1.3660093461897245e-15
28,3,20,6,4,3.552713678800501e-15,1.9984014443252818e-15,1.2648634930043724e-15
28,3,20,6,5,5.329070518200751e-15,3.552713678800501e-15,1.2324139158803575e-15
28,3,20,6,6,0.0,2.220446049250313e-15,1.2357104157774363e-15
28,3,20,6,7,1.3322676295501878e-14,4.440892098500626e-16,9.32952761744745e-16
48,4,0,8,0,1.4210854715202004e-14,1.249000902703301e-16,2.738195000998233e-15
48,4,0,8,1,4.973799150320701e-14,1.3877787807814457e-16,1.4067674158498066e-15
48,4,0,8,2,3.552713678800501e-14,5.551115123125783e-16,2.15805133175317e-15
48,4,0,8,3,2.842170943040401e-14,3.885780586188048e-15,1.2012310322118214e-15
48,4,0,8,4,2.1316282072803006e-14,2.192690473634684e-15,1.5134883978725551e-15
48,4,0,8,5,9.947598300641403e-14,4.996003610813204e-16,2.5750918966909563e-15
48,4,0,8,6,2.4868995751603507e-14,1.9567680809018384e-15,3.2186264958755167e-15
48,4,0,8,7,7.815970093361102e-14,2.1649348980190553e-15,1.0259501309205133e-15
48,4,4,8,0,2.1316282072803006e-14,2.1094237467877974e-15,1.8732738360843444e-15
48,4,4,8,1,1.7763568394002505e-14,1.9984014443252818e-15,1.2426528180196598e-15
48,4,4,8,2,0.0,1.4432899320127035e-15,3.7585891931373136e-15
48,4,4,8,3,1.0658141036401503e-14,2.3314683517128287e-15,1.3896818844755733e-15
48,4,4,8,4,4.618527782440651e-14,2.3314683517128287e-15,1.3941583993069092e-15
48,4,4,8,5,1.0658141036401503e-14,1.3322676295501878e-15,1.408785872298158e-15
48,4,4,8,6,7.105427357601002e-15,2.353672812205332e-14,1.8184477122414203e-15
48,4,4,8,7,2.842170943040401e-14,2.4424906541753444e-15,2.3916211861943356e-15
48,4,20,8,0,5.329070518200751e-15,0.0,1.1507849228496187e-15
48,4,20,8,1,1.3322676295501878e-14,6.661338147750939e-16,1.4367519025513682e-15
48,4,20,8,2,1.9539925233402755e-14,2.220446049250313e-15,1.2245081678178344e-15
48,4,20,8,3,1.9095836023552692e-14,2.886579864025407e-15,1.4591591768200328e-15
48,4,20,8,4,2.220446049250313e-14,0.0,2.010530715587818e-15
48,4,20,8,5,2.042810365310288e-14,2.220446049250313e-15,1.8231516157299635e-15
48,4,20,8,6,7.993605777301127e-15,1.7763568394002505e-15,1.413888402473005e-15
48,4,20,8,7,1.7763568394002505e-15,6.217248937900877e-15,1.5301131196078262e-15
