 d  r   lower   upper   exact
 2  1       4       4   yes
 3  1       8       8   yes
 4  1      11      11   yes
 4  2      16      16   yes
 5  1      16      16   yes
 5  2      24      24   yes
 6  1      17      20   NO
 6  2      32      32   yes
 6  3      36      36   yes
 7  1      19      24   NO
 7  2      32      40   NO
 7  3      48      48   yes
 8  1      23      28   NO
 8  2      40      48   NO
 8  3      56      56   yes
 8  4      64      64   yes
 9  1      32      32   yes
 9  2      48      56   NO
 9  3      64      72   NO
 9  4      80      80   yes
10  1      32      36   NO
10  2      64      64   yes
10  3      80      84   NO
10  4      96      96   yes
10  5     100     100   yes
11  1      32      40   NO
11  2      64      72   NO
11  3      96      96   yes
11  4     112     112   yes
11  5     120     120   yes
12  1      35      44   NO
12  2      64      80   NO
12  3      96     108   NO
12  4     128     128   yes
12  5     138     139   NO
12  6     144     144   yes
13  1      37      48   NO
13  2      68      88   NO
13  3      96     120   NO
13  4     128     144   NO
13  5     160     160   yes
13  6     168     168   yes
14  1      41      52   NO
14  2      76      96   NO
14  3     108     132   NO
14  4     136     160   NO
14  5     160     180   NO
14  6     192     192   yes
14  7     196     196   yes
15  1      43      56   NO
15  2      80     104   NO
15  3     115     144   NO
15  4     144     176   NO
15  5     171     200   NO
15  6     192     216   NO
15  7     224     224   yes
16  1      47      60   NO
16  2      88     112   NO
16  3     127     156   NO
16  4     160     192   NO
16  5     191     220   NO
16  6     216     240   NO
16  7     246     247   NO
16  8     256     256   yes
Intervals are only the bounds proved in the accompanying paper.
