n,r,s,eta,exact_probability,proved_bound,ratio
2,1,1,0.03,0.384302803235715,0.9925280548191384,0.3871959098483557
4,1,1,0.03,0.42700210662267346,0.9925280548191384,0.43021666193655667
34,1,1,0.03,0.43453366451906483,0.9925280548191384,0.4378049188727939
334,1,1,0.03,0.3430688393326547,0.9925280548191384,0.34565152860608034
2,1,1,0.05,0.3781149435349799,0.9875778004938814,0.38287104402902433
4,1,1,0.05,0.4167669767197702,0.9875778004938814,0.4220092599401765
20,1,1,0.05,0.4158856085978154,0.9875778004938814,0.42111680557201026
200,1,1,0.05,0.3000252883666346,0.9875778004938814,0.30379914191731916
2,1,1,0.1,0.3623718483782268,0.9753099120283326,0.3715453353945817
4,1,1,0.1,0.39078538748215486,0.9753099120283326,0.40067816666545125
10,1,1,0.1,0.38093039443166227,0.9753099120283326,0.39057369327811803
100,1,1,0.1,0.22570315352920964,0.9753099120283326,0.23141685606354526
2,1,1,0.2,0.32967995396436056,0.951229424500714,0.34658300665731046
4,1,1,0.2,0.3373727337931554,0.951229424500714,0.354670203742107
5,1,1,0.2,0.3308170979667568,0.951229424500714,0.34777845327944695
50,1,1,0.2,0.13538112475976805,0.951229424500714,0.14232226345482066
2,1,1,0.4,0.25918177931828207,0.9048374180359595,0.2864401649976657
3,1,1,0.4,0.246995688343542,0.9048374180359595,0.27297245164735884
4,1,1,0.4,0.22751764649286163,0.9048374180359595,0.2514458862529266
25,1,1,0.4,0.04569602425212995,0.9048374180359595,0.05050191707513352
2,1,1,0.8,0.0951625819640404,0.8187307530779818,0.11623184008452218
4,1,1,0.8,0.03693631311376678,0.8187307530779818,0.045114114713422394
13,1,1,0.8,0.0006243171309637782,0.8187307530779818,0.0007625426657258028
2,1,2,0.03,0.25320641493630436,0.9851119396030626,0.2570331398463513
4,1,2,0.03,0.33261355702776013,0.9851119396030626,0.3376403672071848
34,1,2,0.03,0.3856448375023865,0.9851119396030626,0.3914731128502785
334,1,2,0.03,0.27766901012697787,0.9851119396030626,0.2818654398188096
2,1,2,0.05,0.2458550042637227,0.9753099120283326,0.2520788533281928
4,1,2,0.05,0.31920488073364334,0.9753099120283326,0.32728559076140146
20,1,2,0.05,0.3535234841366307,0.9753099120283326,0.36247297374576554
200,1,2,0.05,0.22207641389822266,0.9753099120283326,0.22769830508168912
2,1,2,0.1,0.2275176464928617,0.951229424500714,0.2391827256734434
4,1,2,0.1,0.2859078243837888,0.951229424500714,0.3005666320024294
10,1,2,0.1,0.29585838858460195,0.951229424500714,0.31102737253937823
100,1,2,0.1,0.1359549133975285,0.951229424500714,0.1429254708651272
2,1,2,0.2,0.1912078645890011,0.9048374180359595,0.21131737125111047
4,1,2,0.2,0.22127708896368306,0.9048374180359595,0.2445490035591004
5,1,2,0.2,0.2193874889326958,0.9048374180359595,0.24246067255805842
50,1,2,0.2,0.05418114229010868,0.9048374180359595,0.059879422767146716
2,1,2,0.4,0.12190138224955764,0.8187307530779818,0.14889068450314688
3,1,2,0.4,0.12051290121636986,0.8187307530779818,0.14719478993955823
4,1,2,0.4,0.1087083947092054,0.8187307530779818,0.1327767331329879
25,1,2,0.4,0.007007478737722315,0.8187307530779818,0.008558953858002781
2,1,2,0.8,0.017523096306421765,0.6703200460356393,0.02614138784906651
4,1,2,0.8,0.003358068853247997,0.6703200460356393,0.00500965005165526
13,1,2,0.8,1.5369366877456127e-06,0.6703200460356393,2.292840109489874e-06
2,1,4,0.03,0.13221534168791815,0.9704455335485082,0.13624189830052869
4,1,4,0.03,0.23163222748863888,0.9704455335485082,0.23868647902542037
34,1,4,0.03,0.3257209148976305,0.9704455335485082,0.33564059355975095
334,1,4,0.03,0.19849496500086472,0.9704455335485082,0.2045400366520857
2,1,4,0.05,0.12529778668282637,0.951229424500714,0.13172194157954406
4,1,4,0.05,0.21585142883216626,0.951229424500714,0.22691836824272274
20,1,4,0.05,0.2793640053870715,0.951229424500714,0.29368730423126416
200,1,4,0.05,0.13590533835386948,0.951229424500714,0.14287335405462687
2,1,4,0.1,0.10870839470920543,0.9048374180359595,0.12014135638330245
4,1,4,0.1,0.17834131319482951,0.9048374180359595,0.19709763283434636
10,1,4,0.1,0.20198971105050592,0.9048374180359595,0.22323315440352243
100,1,4,0.1,0.057333225886003286,0.9048374180359595,0.06336301388867274
2,1,4,0.2,0.07881348722971894,0.8187307530779818,0.09626301068260004
4,1,4,0.2,0.11333382935932948,0.8187307530779818,0.13842625177233905
5,1,4,0.2,0.11420075679590477,0.8187307530779818,0.13948511933449687
50,1,4,0.2,0.010592871912973399,0.8187307530779818,0.012938162971343104
2,1,4,0.4,0.03376896818565569,0.6703200460356393,0.05037738075322347
3,1,4,0.4,0.03567251099530297,0.6703200460356393,0.05321713292967274
4,1,4,0.4,0.030789275359657444,0.6703200460356393,0.04593220140401478
25,1,4,0.4,0.00021279646940106106,0.6703200460356393,0.00031745502862336774
2,1,4,0.8,0.0007762513762070155,0.44932896411722156,0.0017275792085473171
4,1,4,0.8,3.6978867906171055e-05,0.44932896411722156,8.229798401450024e-05
13,1,4,0.8,1.2774636783900406e-11,0.44932896411722156,2.843047700919574e-11
2,1,8,0.03,0.04430797119822325,0.9417645335842487,0.04704782312155264
4,1,8,0.03,0.13071741350984728,0.9417645335842487,0.13880052693463796
34,1,8,0.03,0.25218648184462555,0.9417645335842487,0.26778082296732125
334,1,8,0.03,0.11371657154883384,0.9417645335842487,0.12074841161839202
2,1,8,0.05,0.04010737768615469,0.9048374180359595,0.04432550741901432
4,1,8,0.05,0.11549779760312191,0.9048374180359595,0.1276448070127576
20,1,8,0.05,0.19364352311630914,0.9048374180359595,0.21400919022185427
200,1,8,0.05,0.05868327327126784,0.9048374180359595,0.0648550469968912
2,1,8,0.1,0.030789275359657444,0.8187307530779818,0.03760610584603856
4,1,8,0.1,0.08232069073178161,0.8187307530779818,0.10054671871344839
10,1,8,0.1,0.10862224144664454,0.8187307530779818,0.13267150530047156
100,1,8,0.1,0.01229336400787492,0.8187307530779818,0.015015148706285389
2,1,8,0.2,0.016829841748957533,0.6703200460356393,0.025107173578489
4,1,8,0.2,0.03620240810553753,0.6703200460356393,0.0540076465259294
5,1,8,0.2,0.03748284524042072,0.6703200460356393,0.05591783426752517
50,1,8,0.2,0.000512974991004026,0.6703200460356393,0.0007652687608521144
2,1,8,0.4,0.003338616949228422,0.44932896411722156,0.007430228665066512
3,1,8,0.4,0.003991663734422872,0.44932896411722156,0.00888361101373719
4,1,8,0.4,0.0031489068770776127,0.44932896411722156,0.007008021134947627
25,1,8,0.4,2.611103491492491e-07,0.44932896411722156,5.811117688846123e-07
2,1,8,0.8,2.05018839396542e-06,0.20189651799465538,1.0154649591429271e-05
4,1,8,0.8,6.108309648691852e-09,0.20189651799465538,3.025465574821628e-08
13,1,8,0.8,1.2263892102383708e-21,0.20189651799465538,6.074345523238969e-21
2,1,16,0.03,0.006281332428057953,0.8869204367171575,0.007082182536358778
4,1,16,0.03,0.049607181904323026,0.8869204367171575,0.055931941412849594
34,1,16,0.03,0.16740232860939325,0.8869204367171575,0.18874559845414693
334,1,16,0.03,0.04331777240440759,0.8869204367171575,0.04884065200340152
2,1,16,0.05,0.005202485198874933,0.8187307530779818,0.0063543297711933025
4,1,16,0.05,0.039669495581423436,0.8187307530779818,0.048452431317973256
20,1,16,0.05,0.10578869954387429,0.8187307530779818,0.12921060940506557
200,1,16,0.05,0.013110512386148195,0.8187307530779818,0.016013215989334476
2,1,16,0.1,0.0031489068770776136,0.6703200460356393,0.0046976170497968275
