n=11: 65536 patterns; 4319 distinct polynomials; 0.9s
n=11: 131072 patterns; 12321 distinct polynomials; 1.8s
n=11: 196608 patterns; 24831 distinct polynomials; 2.7s
n=11: 262144 patterns; 33438 distinct polynomials; 3.5s
n=11: 327680 patterns; 45960 distinct polynomials; 4.4s
n=11: 393216 patterns; 62971 distinct polynomials; 5.3s
n=11: 458752 patterns; 75158 distinct polynomials; 6.2s
n=11: 524288 patterns; 82344 distinct polynomials; 7.1s
n=11: 589824 patterns; 91663 distinct polynomials; 7.9s
n=11: 655360 patterns; 106249 distinct polynomials; 8.8s
n=11: 720896 patterns; 124341 distinct polynomials; 9.7s
n=11: 786432 patterns; 136211 distinct polynomials; 10.6s
n=11: 851968 patterns; 144609 distinct polynomials; 11.5s
n=11: 917504 patterns; 155743 distinct polynomials; 12.4s
n=11: 983040 patterns; 162694 distinct polynomials; 13.3s
n=11: 1048576 patterns; 166420 distinct polynomials; 14.1s
n=11: 1114112 patterns; 170010 distinct polynomials; 15.0s
n=11: 1179648 patterns; 176124 distinct polynomials; 15.8s
n=11: 1245184 patterns; 184585 distinct polynomials; 16.7s
n=11: 1310720 patterns; 190037 distinct polynomials; 17.6s
n=11: 1376256 patterns; 196665 distinct polynomials; 18.4s
n=11: 1441792 patterns; 204722 distinct polynomials; 19.3s
n=11: 1507328 patterns; 209759 distinct polynomials; 20.2s
n=11: 1572864 patterns; 212405 distinct polynomials; 21.1s
n=11: 1638400 patterns; 214174 distinct polynomials; 21.9s
n=11: 1703936 patterns; 216687 distinct polynomials; 22.8s
n=11: 1769472 patterns; 219291 distinct polynomials; 23.6s
n=11: 1835008 patterns; 220609 distinct polynomials; 24.5s
n=11: 1900544 patterns; 221245 distinct polynomials; 25.3s
n=11: 1966080 patterns; 221821 distinct polynomials; 26.1s
n=11: 2031616 patterns; 221986 distinct polynomials; 27.0s
n=11: 2097152 patterns; 222013 distinct polynomials; 27.8s
PASS: n=11, entries={0,1}, 222013 polynomials, 2097152 patterns, spread^2 <= 161; full coverage=True
