Reviewer rerun 2026-09-12; Python 3.12.14 (main, Aug 25 2026, 13:50:33) [Clang 22.1.3 ]
Command: /Users/sholden/.cache/codex-runtimes/codex-primary-runtime/dependencies/python/bin/python3 /Users/sholden/Downloads/OpenProblemsInNLA_status_improvement_candidates/SP-08/verification/spread_exact.py verify /Users/sholden/Downloads/OpenProblemsInNLA_status_improvement_candidates/SP-08/certificates/SP-08_n11_a0.json
n=11: 65536 patterns; 4319 distinct polynomials; 0.5s
n=11: 131072 patterns; 12321 distinct polynomials; 0.9s
n=11: 196608 patterns; 24831 distinct polynomials; 1.3s
n=11: 262144 patterns; 33438 distinct polynomials; 1.8s
n=11: 327680 patterns; 45960 distinct polynomials; 2.2s
n=11: 393216 patterns; 62971 distinct polynomials; 2.6s
n=11: 458752 patterns; 75158 distinct polynomials; 3.1s
n=11: 524288 patterns; 82344 distinct polynomials; 3.5s
n=11: 589824 patterns; 91663 distinct polynomials; 4.0s
n=11: 655360 patterns; 106249 distinct polynomials; 4.4s
n=11: 720896 patterns; 124341 distinct polynomials; 4.8s
n=11: 786432 patterns; 136211 distinct polynomials; 5.3s
n=11: 851968 patterns; 144609 distinct polynomials; 5.7s
n=11: 917504 patterns; 155743 distinct polynomials; 6.1s
n=11: 983040 patterns; 162694 distinct polynomials; 6.6s
n=11: 1048576 patterns; 166420 distinct polynomials; 7.0s
n=11: 1114112 patterns; 170010 distinct polynomials; 7.4s
n=11: 1179648 patterns; 176124 distinct polynomials; 7.9s
n=11: 1245184 patterns; 184585 distinct polynomials; 8.3s
n=11: 1310720 patterns; 190037 distinct polynomials; 8.8s
n=11: 1376256 patterns; 196665 distinct polynomials; 9.2s
n=11: 1441792 patterns; 204722 distinct polynomials; 9.6s
n=11: 1507328 patterns; 209759 distinct polynomials; 10.1s
n=11: 1572864 patterns; 212405 distinct polynomials; 10.5s
n=11: 1638400 patterns; 214174 distinct polynomials; 10.9s
n=11: 1703936 patterns; 216687 distinct polynomials; 11.4s
n=11: 1769472 patterns; 219291 distinct polynomials; 11.8s
n=11: 1835008 patterns; 220609 distinct polynomials; 12.2s
n=11: 1900544 patterns; 221245 distinct polynomials; 12.7s
n=11: 1966080 patterns; 221821 distinct polynomials; 13.1s
n=11: 2031616 patterns; 221986 distinct polynomials; 13.5s
n=11: 2097152 patterns; 222013 distinct polynomials; 13.9s
PASS: n=11, entries={0,1}, 222013 polynomials, 2097152 patterns, spread^2 <= 161; full coverage=True
