'NLA.TR06.complexify' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.complexify_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.complexify_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.complexify_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.complexify_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.complexify_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.complexify_pureTensor' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.complexify_rankOne' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.complexify_decomposes' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.exactRank_of_complexify' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.identifiable_of_complexify' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.exact_identifiable_of_complexify' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.rankAtMostOne' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.closedRankOneProduct' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.closedAdditionFiber' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.exists_decomposes_remove_zeros' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.rankOne_of_mem_closedAdditionFiber' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.closedAdditionFiber_finite_nonempty' depends on axioms: [propext, Classical.choice, Quot.sound]
