'NLA.TR06.FiniteFiber.rank_bound_statement' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.FiniteFiber.rankAtMostOne_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.FiniteFiber.unit_tensor_statement' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.FiniteFiber.splitTuple_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.FiniteFiber.sum_splitTuple' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.FiniteFiber.split_family_statement' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.FiniteFiber.cancelTuple_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.FiniteFiber.sum_cancelTuple' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.FiniteFiber.cancel_family_statement' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.FiniteFiber.shorter_infinite_statement' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.FiniteFiber.exact_rank_statement' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.Segre.pureTensor_smul_mode' depends on axioms: [propext, Classical.choice, Quot.sound]
