COMMAND: /Users/ajt253/Documents/ConvergenceOfAAA_chatgpt6/lean/.tools/lean-4.33.1-darwin_aarch64/bin/lean -o /private/tmp/tr06-partial-release-build/NLA/TR06/RegularChartAudit.olean NLA/TR06/RegularChartAudit.lean
'NLA.TR06.Proposed.addition_fiber_neighborhood' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.Proposed.continuous_permuteRankOne' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.Proposed.sum_permuteRankOne' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.Proposed.isOpen_identifiable_addition_image' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.Proposed.isOpenEmbedding_pivotDecoder' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.Proposed.exists_immersion_patch' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.Proposed.exists_pivot_open_chart' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.Proposed.contDiffOn_normalizedTuple' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.Proposed.smooth_chart_of_proper_immersion' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR06.Proposed.smooth_regular_on_proper_immersion' depends on axioms: [propext, Classical.choice, Quot.sound]
EXIT: 0
