'NLA.TR27.integral_quadratic' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.quotientLinearMap' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.quotientMap_surjective' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.quotientMap_center' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.quotientMap_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.quotient_semantics' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.coordinateIndex_ne_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.witnessVector_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.curve_some_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.homogeneousMap_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.homogeneousMap_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.homogeneousMap_infinity' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.curve_mem_range_homogeneousMap' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.witnessVector_nonzero' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.curve_nonzero' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.curve_three_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.borderCurve_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.borderCurve_nonzero' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.borderCurve_divided_difference' depends on axioms: [propext, Classical.choice, Quot.sound]

EXIT: 0
