'NLA.TR27.parameter_zero_power_integral' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.parameter_mixed_integral' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.parameter_one_power_integral' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.parameter_integral' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.substitution_integral' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.eval_coordinateSubstitution' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.homogeneousMap_mem_zeroLocus' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.homogeneousMap_mem_cone' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.zeroLocus_eq_range_homogeneousMap' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.homogeneousMap_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.range_homogeneousMap_eq_parameterizedCone' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.whole_closed_image' depends on axioms: [propext, Classical.choice, Quot.sound]

EXIT: 0
