Independent reviewer macOS cached-dependency audit; not Linux verification.
'NLA.TR27.finite_coordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.admissible_geometry' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.cone_projective_membership' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.projective_cone_rank' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.rank_minima' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.projective_affine_border' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.tensor_representatives' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.segre_cone_rank' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.segre_rank_minimum' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.coordinate_transport' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.quotient_semantics' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.homogeneous_parameter_semantics' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.integral_quadratic' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.substitution_integral' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.whole_closed_image' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.witness_admissible' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.curve_nonzero' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.eight_point_independence' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.witness_three_terms' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.border_curve_semantics' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.border_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.square_nine_terms' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.square_not_eight' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.projective_counterexample' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.original_conjecture_false' depends on axioms: [propext, Classical.choice, Quot.sound]
EXIT: 0
